tf_label,pair,sma,M_exit,tp_pips,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,days
S5/S30/M1,GBP_USD,7/22/50,1,30.0,91,64,27,-202.0,-16.5,-52.36,-8.54,-31.4,37.0,5.8
S5/S30/M1,GBP_USD,10/22/50,0,15.0,10,10,0,111.7,0.0,28.95,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_USD,10/22/50,0,20.0,8,8,0,119.6,0.0,31.0,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_USD,10/22/50,0,30.0,1,1,0,-27.3,0.0,-7.07,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_USD,10/22/50,1,15.0,88,61,27,-214.7,-3.1,-55.66,-1.6,-31.2,33.3,5.8
S5/S30/M1,GBP_USD,10/22/50,1,20.0,87,60,27,-213.4,-3.1,-55.31,-1.6,-34.2,33.3,5.8
S5/S30/M1,GBP_USD,10/22/50,1,30.0,87,60,27,-221.1,-11.8,-57.31,-6.11,-34.2,33.3,5.8
S5/M1/M5,USD_JPY,5/10/22,0,15.0,6,5,1,68.7,-62.8,17.81,-32.53,0.0,0.0,5.8
S5/M1/M5,USD_JPY,5/10/22,0,20.0,3,3,0,-34.4,0.0,-8.92,0.0,0.0,0.0,5.8
S5/M1/M5,USD_JPY,5/10/22,0,30.0,2,2,0,52.1,0.0,13.51,0.0,0.0,0.0,5.8
S5/M1/M5,USD_JPY,5/10/22,1,15.0,38,25,13,-71.4,-4.4,-18.49,-2.3,-15.6,38.5,5.8
S5/M1/M5,USD_JPY,5/10/22,1,20.0,38,25,13,-71.4,-4.3,-18.49,-2.25,-15.6,30.8,5.8
S5/M1/M5,USD_JPY,5/10/22,1,30.0,37,25,12,-71.4,-3.0,-18.49,-1.54,-15.6,33.3,5.8
S5/M1/M5,USD_JPY,5/15/35,0,15.0,7,6,1,82.4,-38.2,21.37,-19.81,0.0,0.0,5.8
S5/M1/M5,USD_JPY,5/15/35,0,20.0,4,4,0,75.0,0.0,19.43,0.0,0.0,0.0,5.8
S5/M1/M5,USD_JPY,5/15/35,0,30.0,2,2,0,-30.4,0.0,-7.89,0.0,0.0,0.0,5.8
S5/M1/M5,USD_JPY,5/15/35,1,15.0,30,22,8,-107.8,-8.1,-27.93,-4.19,-15.2,12.5,5.8
S5/M1/M5,USD_JPY,5/15/35,1,20.0,30,22,8,-107.8,-3.1,-27.93,-1.6,-15.2,12.5,5.8
S5/M1/M5,USD_JPY,5/15/35,1,30.0,30,22,8,-107.8,-6.8,-27.93,-3.54,-15.2,12.5,5.8
S5/M1/M5,USD_JPY,5/22/50,0,15.0,4,3,1,41.2,7.6,10.68,3.96,0.0,100.0,5.8
S5/M1/M5,USD_JPY,5/22/50,0,20.0,3,3,0,-21.7,0.0,-5.62,0.0,0.0,0.0,5.8
S5/M1/M5,USD_JPY,5/22/50,0,30.0,2,2,0,-30.4,0.0,-7.89,0.0,0.0,0.0,5.8
S5/M1/M5,USD_JPY,5/22/50,1,15.0,23,14,9,-81.5,-20.0,-21.12,-10.39,-25.7,11.1,5.8
S5/M1/M5,USD_JPY,5/22/50,1,20.0,23,14,9,-81.5,-19.9,-21.12,-10.34,-30.6,11.1,5.8
S5/M1/M5,USD_JPY,5/22/50,1,30.0,22,14,8,-81.5,-18.6,-21.12,-9.63,-25.0,12.5,5.8
S5/M1/M5,USD_JPY,7/15/35,0,15.0,8,6,2,82.4,-24.5,21.37,-12.69,-38.2,50.0,5.8
S5/M1/M5,USD_JPY,7/15/35,0,20.0,5,4,1,75.0,-26.1,19.43,-13.51,0.0,0.0,5.8
S5/M1/M5,USD_JPY,7/15/35,0,30.0,2,2,0,-30.4,0.0,-7.89,0.0,0.0,0.0,5.8
S5/M1/M5,USD_JPY,7/15/35,1,15.0,28,21,7,-89.8,1.1,-23.27,0.58,-9.8,42.9,5.8
S5/M1/M5,USD_JPY,7/15/35,1,20.0,28,21,7,-84.8,6.1,-21.97,3.18,-9.8,42.9,5.8
S5/M1/M5,USD_JPY,7/15/35,1,30.0,28,21,7,-95.6,2.4,-24.78,1.26,-9.8,42.9,5.8
S5/M1/M5,USD_JPY,7/22/50,0,15.0,3,2,1,27.5,7.6,7.12,3.96,0.0,100.0,5.8
S5/M1/M5,USD_JPY,7/22/50,0,20.0,2,2,0,-40.4,0.0,-10.48,0.0,0.0,0.0,5.8
S5/M1/M5,USD_JPY,7/22/50,0,30.0,2,1,1,28.7,7.6,7.45,3.96,0.0,100.0,5.8
S5/M1/M5,USD_JPY,7/22/50,1,15.0,24,15,9,-78.3,-21.1,-20.31,-10.93,-25.3,22.2,5.8
