signal_date,execution_date,next_execution_date,n_long,n_short,gated_flat,net_pips,carry_free_gross_pips,variant
2017-03-30 21:00:00+00:00,2017-04-02 21:00:00+00:00,2017-05-01 21:00:00+00:00,3,3,False,-160.40821033645892,-156.116339625279,momentum
2017-04-30 21:00:00+00:00,2017-05-01 21:00:00+00:00,2017-06-01 21:00:00+00:00,3,3,False,-33.77243571065192,-22.67894973883611,momentum
2017-05-31 21:00:00+00:00,2017-06-01 21:00:00+00:00,2017-07-02 21:00:00+00:00,3,3,False,6.810227444629888,15.531580709207375,momentum
2017-06-29 21:00:00+00:00,2017-07-02 21:00:00+00:00,2017-08-01 21:00:00+00:00,3,3,False,-21.25767326506312,-7.589127299387158,momentum
2017-07-31 21:00:00+00:00,2017-08-01 21:00:00+00:00,2017-09-03 21:00:00+00:00,3,3,False,-17.136538732504373,-11.060074256558245,momentum
2017-08-31 21:00:00+00:00,2017-09-03 21:00:00+00:00,2017-10-01 21:00:00+00:00,3,3,False,-62.62970510562644,-57.49563928675551,momentum
2017-09-28 21:00:00+00:00,2017-10-01 21:00:00+00:00,2017-11-01 21:00:00+00:00,3,3,False,10.872272943216263,18.377356396908688,momentum
2017-10-31 21:00:00+00:00,2017-11-01 21:00:00+00:00,2017-12-03 22:00:00+00:00,3,3,False,16.310370306382747,25.017413903011654,momentum
2017-11-30 22:00:00+00:00,2017-12-03 22:00:00+00:00,2018-01-01 22:00:00+00:00,3,3,False,-19.134945894273038,-11.162913559276946,momentum
2017-12-28 22:00:00+00:00,2018-01-01 22:00:00+00:00,2018-02-01 22:00:00+00:00,3,3,False,32.21949724039587,41.43533262019541,momentum
2018-01-31 22:00:00+00:00,2018-02-01 22:00:00+00:00,2018-03-01 22:00:00+00:00,3,3,False,-161.40729368264965,-153.3506279146846,momentum
2018-02-28 22:00:00+00:00,2018-03-01 22:00:00+00:00,2018-04-01 21:00:00+00:00,3,3,False,47.08171293030254,56.447536280084705,momentum
2018-03-29 21:00:00+00:00,2018-04-01 21:00:00+00:00,2018-05-01 21:00:00+00:00,3,3,False,-146.82634346116004,-125.52191601143211,momentum
2018-04-30 21:00:00+00:00,2018-05-01 21:00:00+00:00,2018-06-03 21:00:00+00:00,3,3,False,-157.28619441216912,-144.19012394461512,momentum
2018-05-31 21:00:00+00:00,2018-06-03 21:00:00+00:00,2018-07-01 21:00:00+00:00,3,3,False,-7.474341693374903,1.6680467725191903,momentum
2018-06-28 21:00:00+00:00,2018-07-01 21:00:00+00:00,2018-08-01 21:00:00+00:00,3,3,False,-77.26707796137276,-56.562450895015765,momentum
2018-07-31 21:00:00+00:00,2018-08-01 21:00:00+00:00,2018-09-02 21:00:00+00:00,3,3,False,6.952195213611283,29.46858464308142,momentum
2018-08-30 21:00:00+00:00,2018-09-02 21:00:00+00:00,2018-10-01 21:00:00+00:00,3,3,False,-135.57443135786718,-113.11184763315211,momentum
2018-09-30 21:00:00+00:00,2018-10-01 21:00:00+00:00,2018-11-01 21:00:00+00:00,3,3,False,-62.81767767241631,-33.69047510926951,momentum
