JIT compiled.

============================================================================
PAIR: EUR_USD  OOS=409d
 reg_N   mode  ZW/atr tgt_f   ta  wick |      p/d       P5     nc  skip%   1L%   5+%   IS  OOS  perm_p | status
    20    atr 3.0×ATR   0.7   10  0.25 | 296780479191436288.0 35766101214158724.0   3127  88.5% 61.7%  4.7%    3/3    3/3   0.020 | 🟢 PASS
    20    atr 4.0×ATR   0.7   10  0.25 | 342761659122665984.0 8876637836025421.0   1852  95.7% 64.1%  3.8%    3/3    3/3   0.005 | 🟢 PASS
    20    atr 5.0×ATR   0.7   10  0.25 | 50195111703520048.0 1976250152416087.8   1003  98.4% 64.7%  3.7%    3/3    3/3   0.005 | 🟢 PASS
    20    atr 2.0×ATR   1.0    6  0.00 | -651919890729924352.0 -1489166813803228928.0   5706  53.7% 62.0%  8.0%    1/3    1/3   0.870 | 1/1 p=0.87
    20    atr 3.0×ATR   1.0    6  0.00 | -46091884727030968.0 -165724818378030176.0   3293  82.8% 68.0%  5.7%    2/3    2/3   0.505 | 2/2 p=0.51
    20    atr 4.0×ATR   1.0    6  0.00 | -61653114862718144.0 -190389390160700128.0   2213  94.1% 72.3%  5.1%    2/3    2/3   0.585 | 2/2 p=0.58
    20    atr 5.0×ATR   1.0    6  0.00 | 1099531530407751.6 143472835985649.7   1429  97.7% 75.2%  4.6%    1/3    2/3   0.010 | 1/2 p=0.01
    20    atr 2.0×ATR   1.0    6  0.15 | 1385613480410723584.0 -395493868219546432.0   5227  68.9% 60.4%  8.1%    1/3    3/3   0.165 | 1/3 p=0.17
    20    atr 3.0×ATR   1.0    6  0.15 | -31397281674705156.0 -151516138033701760.0   3277  86.4% 68.5%  5.4%    3/3    2/3   0.595 | 3/2 p=0.59
    20    atr 4.0×ATR   1.0    6  0.15 | -64059779202327232.0 -202810953521238912.0   2056  95.2% 71.9%  4.2%    2/3    2/3   0.455 | 2/2 p=0.46
    20    atr 5.0×ATR   1.0    6  0.15 | 263698020525308.9 464595.1   1242  98.2% 75.3%  4.4%    1/3    2/3   0.030 | 1/2 p=0.03
    20    atr 2.0×ATR   1.0    6  0.25 | -195236619556249568.0 -719057131014754560.0   4864  76.2% 61.0%  7.8%    3/3    1/3   0.680 | 3/1 p=0.68
    20    atr 3.0×ATR   1.0    6  0.25 | -31913731797436020.0 -156595166240678144.0   3199  89.2% 67.7%  5.1%    3/3    2/3   0.470 | 3/2 p=0.47
    20    atr 4.0×ATR   1.0    6  0.25 | 16082328502294824.0 995183020997962.1   1967  96.0% 70.8%  4.8%    2/3    3/3   0.000 | 2/3 p=0.00
    20    atr 5.0×ATR   1.0    6  0.25 | 53255787675935.8   -797.0   1094  98.5% 74.7%  4.1%    2/3    2/3   0.160 | 2/2 p=0.16
    20    atr 2.0×ATR   1.0    8  0.00 | -438755642991823232.0 -1212618045338671872.0   4785  51.6% 57.4%  9.2%    0/3    2/3   0.845 | 0/2 p=0.84
    20    atr 3.0×ATR   1.0    8  0.00 | -4874529461942993.0 -121723900189243632.0   2934  81.8% 63.8%  6.5%    1/3    2/3   0.570 | 1/2 p=0.57
    20    atr 4.0×ATR   1.0    8  0.00 | -1943656068641630.5 -134242878683401664.0   1748  93.9% 67.0%  6.3%    2/3    2/3   0.520 | 2/2 p=0.52
    20    atr 5.0×ATR   1.0    8  0.00 | 1137905229021788.0 200139249543780.2   1196  97.7% 68.3%  6.2%    1/3    3/3   0.000 | 1/3 p=0.00
    20    atr 2.0×ATR   1.0    8  0.15 | 1894813688473055232.0 242031831729781152.0   4516  68.2% 56.1%  9.5%    2/3    3/3   0.020 | 2/3 p=0.02
    20    atr 3.0×ATR   1.0    8  0.15 | -13443392508177696.0 -103865608062792864.0   2774  85.9% 64.0%  5.8%    3/3    2/3   0.475 | 3/2 p=0.47
    20    atr 4.0×ATR   1.0    8  0.15 | -65225663316657392.0 -204119629262649888.0   1724  95.0% 66.6%  4.9%    2/3    2/3   0.540 | 2/2 p=0.54
    20    atr 5.0×ATR   1.0    8  0.15 | 263698020525993.1 464751.2   1067  98.1% 68.8%  6.0%    1/3    3/3   0.010 | 1/3 p=0.01
    20    atr 2.0×ATR   1.0    8  0.25 | -40912837257861488.0 -448542617232111232.0   4330  75.8% 56.1%  8.8%    3/3    2/3   0.515 | 3/2 p=0.52
    20    atr 3.0×ATR   1.0    8  0.25 | 76375792063499792.0 13177605339123618.0   2629  88.8% 62.6%  6.1%    3/3    3/3   0.000 | 🟢 PASS
    20    atr 4.0×ATR   1.0    8  0.25 | 1429529214604873.2 151090120467919.9   1677  95.8% 65.8%  5.4%    1/3    3/3   0.000 | 1/3 p=0.00
    20    atr 5.0×ATR   1.0    8  0.25 | 53255787676618.0     56.9    945  98.5% 67.9%  5.4%    2/3    2/3   0.135 | 2/2 p=0.14
    20    atr 2.0×ATR   1.0   10  0.00 | -668563448276096896.0 -1462275544329224704.0   4426  50.6% 53.9% 10.0%    2/3    1/3   0.975 | 2/1 p=0.97
    20    atr 3.0×ATR   1.0   10  0.00 | -190658359221718784.0 -496456890075057344.0   2493  80.9% 60.8%  7.2%    1/3    1/3   0.755 | 1/1 p=0.76
    20    atr 4.0×ATR   1.0   10  0.00 | 62322505576228584.0 -590894387559955.9   1525  93.7% 63.3%  7.1%    2/3    3/3   0.160 | 2/3 p=0.16
    20    atr 5.0×ATR   1.0   10  0.00 | 678400486955367.8 10376518.3   1060  97.6% 64.6%  6.8%    1/3    2/3   0.000 | 1/2 p=0.00
