zone_width,tgt,ez,variant,gates,verdict,n,avg_legs,esc_pct,pnl_$,sharpe,sqn,wr,max_dd
45,45,1.0,center,5,PASS,1132,9.765017667844523,4.858657243816254,5219.251737540397,0.31896507922701295,10.731646334064758,65.10600706713781,-191.41816144626705
45,45,1.0,boundary,5,PASS,3008,9.904255319148936,1.9946808510638299,8590.573567027328,0.18909897124457473,10.371177857151789,62.034574468085104,-352.54291379235104
45,56,1.25,center,5,PASS,1127,9.880212954747115,2.6619343389529724,5657.937057841882,0.3300805571512295,11.081075188529447,65.0399290150843,-188.0223971941334
45,56,1.25,boundary,5,PASS,3011,9.96778478910661,1.195616074393889,10861.579451566622,0.2353388007835245,12.913647096207129,61.906343407505815,-309.618708309916
45,68,1.5,center,5,PASS,1121,9.917038358608385,1.5165031222123104,5917.809796445721,0.3310636195823844,11.084452975069157,65.29884032114184,-187.1727570722613
45,68,1.5,boundary,5,PASS,3011,9.977748256393225,0.564596479574892,10640.151879520938,0.22935098413755572,12.58508015023224,61.7734971770176,-328.0656508935582
45,90,2.0,center,5,PASS,1116,9.96236559139785,0.6272401433691757,6048.4874137860215,0.3214240143846925,10.737679035893132,65.32258064516128,-222.20938025037293
45,90,2.0,boundary,5,PASS,3083,9.986052546221213,0.2594875121634771,10145.624613174808,0.20938685740000726,11.626156940616989,61.66072007784626,-218.08339746645768
45,112,2.5,center,5,PASS,1118,9.993738819320214,0.26833631484794274,6415.735845341102,0.3209794025681624,10.732430039093202,65.38461538461539,-182.56328774416178
45,112,2.5,boundary,5,PASS,3040,9.995723684210526,0.13157894736842105,10301.82915478445,0.22515961269293985,12.41444431344494,61.67763157894737,-188.08149070155923
50,25,0.5,center,5,PASS,957,9.171368861024034,17.450365726227794,1714.382537395828,0.1310683481233068,4.054653951811687,61.650992685475444,-190.0604628847268
50,25,0.5,boundary,5,PASS,2968,9.629043126684635,9.50134770889488,7823.569727940267,0.20029792666106166,10.912101629501489,63.40970350404312,-247.448574570605
50,35,0.7,center,5,PASS,942,9.545647558386412,9.872611464968154,2899.2334837850167,0.21691880574637934,6.657676000363956,62.52653927813163,-234.68484906044213
50,35,0.7,boundary,5,PASS,2749,9.831575118224809,4.365223717715533,9021.795697369984,0.22130224921135805,11.603077628629855,64.4234267006184,-165.807963628727
50,42,0.85,center,5,PASS,939,9.65814696485623,6.815761448349308,3358.57743454472,0.2415702648448152,7.402463447589952,62.087326943556974,-188.41734125416406
