half_zone_pips,target_beyond_pips,profit_factor,ez_ratio,n_cycles,net_pnl_pips,mean_pnl_pips,win_rate,sharpe,sqn,profit_factor_result,max_dd_pips,avg_legs,max_legs_hit_pct,exit_target_pct,exit_maxlegs_pct
25.0,10,1.5,0.2,11322,-71626.799999998,-6.3263381028085135,0.9232467761879527,-0.04850831070336154,-5.1615213240847,0.5191828630002544,-72083.19999999802,1.9904610492845787,0.07781310722487193,0.09432962374138845,0.07180710121886592
25.0,8,1.5,0.16,11694,-83152.9000000001,-7.110731999315897,0.926458012656063,-0.048784857404103855,-5.275535923089872,0.46532068066191706,-84094.00000000029,1.8774585257396956,0.06003078501795793,0.1176671797502993,0.05498546263040876
25.0,5,1.3,0.1,12560,-91101.60000000073,-7.253312101910886,0.9015923566878981,-0.04898829286349176,-5.490186849393309,0.3539667940509046,-91590.90000000106,1.5917993630573248,0.027627388535031848,0.14721337579617835,0.024761146496815288
25.0,5,1.19,0.1,12560,-90730.70000000074,-7.223781847133817,0.9015923566878981,-0.04917460941275471,-5.511067606994685,0.354900246007686,-91212.8000000012,1.5917993630573248,0.027627388535031848,0.14721337579617835,0.024761146496815288
25.0,8,1.3,0.16,11694,-75849.8999999997,-6.486223704463802,0.9244911920643065,-0.04925019525962122,-5.325857000239293,0.4619399131157556,-76592.29999999996,1.8774585257396956,0.06003078501795793,0.1176671797502993,0.05498546263040876
25.0,8,1.19,0.16,11694,-69190.99999999927,-5.916794937574762,0.9047374722079699,-0.0493232882097111,-5.333761184128357,0.45726376725194934,-69698.0999999996,1.8774585257396956,0.06003078501795793,0.1176671797502993,0.05498546263040876
25.0,8,1.1,0.16,11694,-69222.69999999925,-5.919505729433834,0.9047374722079699,-0.04939606772382148,-5.3416314734268155,0.4571500942617811,-69724.39999999959,1.8774585257396956,0.06003078501795793,0.1176671797502993,0.05498546263040876
10.25,15,1.0,0.7317073170731707,18159,-55774.450000029145,-3.071449419022476,0.8417864419846908,-0.049510761462894494,-6.671839189911771,0.7472059237113055,-56836.65000002895,3.471887218459166,0.23734787157883144,0.09405804284376892,0.22826146814251885
25.0,8,1.0,0.16,11694,-69203.09999999923,-5.9178296562339,0.9047374722079699,-0.04962066372573247,-5.365919015490311,0.457220371206975,-69687.39999999956,1.8774585257396956,0.06003078501795793,0.1176671797502993,0.05498546263040876
10.25,15,1.1,0.7317073170731707,18159,-58884.90000002987,-3.2427391376193553,0.8443746902362465,-0.049729530489086,-6.701319483071415,0.738469963411831,-59945.85000002965,3.471887218459166,0.23734787157883144,0.09405804284376892,0.22826146814251885
25.0,3,1.0,0.06,13657,-121566.7999999998,-8.901427839203324,0.8296111884015523,-0.050492481272109854,-5.900711314079107,0.27338735802976916,-121677.20000000072,1.3303068023724098,0.009006370359522588,0.1631397817968807,0.007541919894559566
25.0,5,1.1,0.1,12560,-83529.80000000042,-6.650461783439524,0.8813694267515924,-0.050499118105176447,-5.659507158160596,0.3613832015779902,-83887.30000000077,1.5917993630573248,0.027627388535031848,0.14721337579617835,0.024761146496815288
25.0,5,1.0,0.1,12560,-77255.8000000001,-6.150939490445868,0.8661624203821656,-0.051571331623801356,-5.779671634520278,0.36997814457201456,-77503.10000000041,1.5917993630573248,0.027627388535031848,0.14721337579617835,0.024761146496815288
25.0,3,1.1,0.06,13657,-126280.6,-9.246584169290474,0.8308559712967709,-0.05165136221939047,-6.036141812739638,0.26596836726983175,-126407.19999999924,1.3303068023724098,0.009006370359522588,0.1631397817968807,0.007541919894559566
20.0,10,1.5,0.25,13380,-67696.90000001168,-5.059559043349154,0.9109118086696562,-0.052980402916011506,-6.128346513232772,0.5823146258890983,-68727.2000000113,2.1948430493273543,0.09551569506726458,0.10971599402092676,0.0890134529147982
25.0,3,1.19,0.06,13657,-130782.9000000002,-9.576253935710639,0.8326865343779747,-0.05302818490893928,-6.197041673808439,0.2594043314655569,-130925.69999999831,1.3303068023724098,0.009006370359522588,0.1631397817968807,0.007541919894559566
