pair,pip,swing_w,cluster_tol,min_touches,wick_thresh,stop_atr_frac,range_bars,tgt_pips,ppd,p5,p_pos,nc,hit_pct,stop_pct,perm_p,is_wf,oos_wf,gate_pass
EUR_USD,0.0001,5,10,2,0.35,1.5,100,30,1.1,-1.9,0.728,1849,28.8,71.2,0.265,2,2,False
EUR_JPY,0.01,5,10,2,0.0,0.5,0,15,-2.7,-7.2,0.184,9233,42.5,57.5,0.875,2,1,False
EUR_JPY,0.01,5,10,2,0.0,0.5,0,20,3.0,-1.6,0.87,7177,36.4,63.6,0.16,2,1,False
EUR_JPY,0.01,5,10,2,0.0,0.5,0,25,3.3,-1.5,0.866,5846,31.7,68.3,0.11,2,1,False
EUR_JPY,0.01,5,10,2,0.0,0.5,0,30,2.7,-1.3,0.85,4996,27.8,72.2,0.22,2,1,False
EUR_JPY,0.01,5,10,2,0.0,0.5,50,15,-5.9,-10.0,0.012,9133,41.6,58.4,0.97,2,1,False
EUR_JPY,0.01,5,10,2,0.0,0.5,50,20,-1.4,-5.9,0.296,7081,35.5,64.5,0.695,2,1,False
EUR_JPY,0.01,5,10,2,0.0,0.5,50,25,0.3,-4.6,0.526,5838,31.0,69.0,0.44,2,1,False
EUR_JPY,0.01,5,10,2,0.0,0.5,50,30,1.3,-3.1,0.674,4983,27.4,72.6,0.315,2,1,False
EUR_JPY,0.01,5,10,2,0.0,0.5,100,15,-5.0,-9.3,0.032,9166,41.9,58.1,0.985,2,1,False
EUR_JPY,0.01,5,10,2,0.0,0.5,100,20,-0.3,-5.3,0.454,7133,35.7,64.3,0.585,2,1,False
EUR_JPY,0.01,5,10,2,0.0,0.5,100,25,0.9,-3.8,0.626,5852,31.1,68.9,0.37,2,1,False
EUR_JPY,0.01,5,10,2,0.0,0.5,100,30,2.7,-2.2,0.814,5018,27.7,72.3,0.19,2,1,False
EUR_JPY,0.01,5,10,2,0.0,1.0,0,15,-3.4,-8.1,0.1,7343,51.0,49.0,0.905,2,1,False
EUR_JPY,0.01,5,10,2,0.0,1.0,0,20,1.7,-3.5,0.71,5586,44.3,55.7,0.33,2,1,False
EUR_JPY,0.01,5,10,2,0.0,1.0,0,25,1.5,-3.5,0.682,4495,39.2,60.8,0.295,2,1,False
EUR_JPY,0.01,5,10,2,0.0,1.0,0,30,3.6,-1.7,0.872,3850,35.2,64.8,0.1,2,1,False
EUR_JPY,0.01,5,10,2,0.0,1.0,50,15,-6.0,-10.5,0.012,7249,50.2,49.8,0.995,1,1,False
EUR_JPY,0.01,5,10,2,0.0,1.0,50,20,-1.2,-5.9,0.362,5475,43.7,56.3,0.67,2,1,False
EUR_JPY,0.01,5,10,2,0.0,1.0,50,25,-0.7,-5.9,0.366,4454,38.5,61.5,0.61,2,1,False
EUR_JPY,0.01,5,10,2,0.0,1.0,50,30,1.1,-4.0,0.624,3819,34.6,65.4,0.36,2,1,False
EUR_JPY,0.01,5,10,2,0.0,1.0,100,15,-5.2,-9.2,0.018,7289,50.4,49.6,0.975,2,1,False
EUR_JPY,0.01,5,10,2,0.0,1.0,100,20,1.1,-3.7,0.612,5507,44.2,55.8,0.305,2,1,False
EUR_JPY,0.01,5,10,2,0.0,1.0,100,25,-0.9,-5.9,0.378,4464,38.6,61.4,0.675,2,1,False
EUR_JPY,0.01,5,10,2,0.0,1.0,100,30,2.7,-2.5,0.84,3846,34.9,65.1,0.18,2,1,False
EUR_JPY,0.01,5,10,2,0.0,1.5,0,15,-3.9,-8.6,0.108,6127,57.1,42.9,0.89,2,1,False
EUR_JPY,0.01,5,10,2,0.0,1.5,0,20,0.3,-4.5,0.534,4594,50.6,49.4,0.425,2,1,False
EUR_JPY,0.01,5,10,2,0.0,1.5,0,25,2.2,-3.0,0.736,3681,45.7,54.3,0.205,2,2,False
EUR_JPY,0.01,5,10,2,0.0,1.5,0,30,1.8,-3.7,0.694,3185,40.9,59.1,0.225,2,2,False
EUR_JPY,0.01,5,10,2,0.0,1.5,50,15,-6.1,-10.4,0.014,5992,56.5,43.5,0.99,1,1,False
EUR_JPY,0.01,5,10,2,0.0,1.5,50,20,-1.7,-6.5,0.268,4500,50.1,49.9,0.745,2,1,False
EUR_JPY,0.01,5,10,2,0.0,1.5,50,25,0.1,-5.4,0.492,3645,45.0,55.0,0.47,2,1,False
EUR_JPY,0.01,5,10,2,0.0,1.5,50,30,0.7,-4.2,0.582,3142,40.6,59.4,0.42,2,2,False
EUR_JPY,0.01,5,10,2,0.0,1.5,100,15,-5.0,-9.6,0.042,6061,56.8,43.2,0.965,1,1,False
EUR_JPY,0.01,5,10,2,0.0,1.5,100,20,-0.0,-5.4,0.488,4549,50.5,49.5,0.52,2,1,False
EUR_JPY,0.01,5,10,2,0.0,1.5,100,25,0.7,-4.3,0.586,3661,45.3,54.7,0.45,2,1,False
EUR_JPY,0.01,5,10,2,0.0,1.5,100,30,1.3,-3.7,0.694,3163,40.8,59.2,0.35,2,2,False
EUR_JPY,0.01,5,10,2,0.15,0.5,0,15,-6.5,-10.6,0.004,8362,42.3,57.7,0.99,1,1,False
EUR_JPY,0.01,5,10,2,0.15,0.5,0,20,-3.6,-7.9,0.092,6658,35.6,64.4,0.925,2,1,False
EUR_JPY,0.01,5,10,2,0.15,0.5,0,25,0.6,-4.1,0.602,5535,31.3,68.7,0.415,2,1,False
EUR_JPY,0.01,5,10,2,0.15,0.5,0,30,2.4,-2.3,0.768,4723,28.0,72.0,0.215,2,1,False
EUR_JPY,0.01,5,10,2,0.15,0.5,50,15,-11.9,-16.3,0.0,8237,40.9,59.1,1.0,0,0,False
EUR_JPY,0.01,5,10,2,0.15,0.5,50,20,-7.5,-11.9,0.0,6572,34.6,65.4,0.995,2,1,False
EUR_JPY,0.01,5,10,2,0.15,0.5,50,25,-3.3,-8.2,0.128,5505,30.3,69.7,0.87,2,1,False
EUR_JPY,0.01,5,10,2,0.15,0.5,50,30,-1.0,-5.7,0.39,4759,27.0,73.0,0.67,2,1,False
EUR_JPY,0.01,5,10,2,0.15,0.5,100,15,-10.7,-14.9,0.0,8269,41.2,58.8,1.0,0,0,False
EUR_JPY,0.01,5,10,2,0.15,0.5,100,20,-5.6,-10.3,0.016,6607,35.0,65.0,0.995,2,1,False
EUR_JPY,0.01,5,10,2,0.15,0.5,100,25,-1.2,-5.3,0.354,5503,30.8,69.2,0.61,2,1,False
EUR_JPY,0.01,5,10,2,0.15,0.5,100,30,1.0,-3.8,0.652,4730,27.5,72.5,0.385,2,1,False
EUR_JPY,0.01,5,10,2,0.15,1.0,0,15,-5.1,-9.5,0.03,6659,51.0,49.0,0.98,1,1,False
EUR_JPY,0.01,5,10,2,0.15,1.0,0,20,-3.5,-8.1,0.1,5177,43.6,56.4,0.885,2,1,False
EUR_JPY,0.01,5,10,2,0.15,1.0,0,25,-2.1,-6.7,0.216,4287,38.3,61.7,0.74,2,1,False
EUR_JPY,0.01,5,10,2,0.15,1.0,0,30,0.8,-4.1,0.564,3653,34.8,65.2,0.36,2,1,False
EUR_JPY,0.01,5,10,2,0.15,1.0,50,15,-10.2,-14.5,0.0,6545,49.5,50.5,1.0,0,0,False
EUR_JPY,0.01,5,10,2,0.15,1.0,50,20,-7.5,-11.6,0.012,5119,42.5,57.5,1.0,2,1,False
EUR_JPY,0.01,5,10,2,0.15,1.0,50,25,-6.1,-10.6,0.016,4234,37.0,63.0,0.985,2,1,False
EUR_JPY,0.01,5,10,2,0.15,1.0,50,30,-2.2,-6.8,0.264,3633,33.8,66.2,0.84,2,1,False
EUR_JPY,0.01,5,10,2,0.15,1.0,100,15,-8.6,-13.2,0.0,6576,49.9,50.1,1.0,0,0,False
EUR_JPY,0.01,5,10,2,0.15,1.0,100,20,-4.9,-9.8,0.026,5152,43.1,56.9,0.95,2,1,False
EUR_JPY,0.01,5,10,2,0.15,1.0,100,25,-4.3,-9.0,0.074,4247,37.6,62.4,0.93,2,1,False
EUR_JPY,0.01,5,10,2,0.15,1.0,100,30,-0.6,-5.6,0.432,3661,34.3,65.7,0.6,2,1,False
EUR_JPY,0.01,5,10,2,0.15,1.5,0,15,-6.8,-11.6,0.006,5641,56.7,43.3,0.985,1,0,False
EUR_JPY,0.01,5,10,2,0.15,1.5,0,20,-3.8,-8.3,0.12,4354,49.5,50.5,0.895,2,1,False
EUR_JPY,0.01,5,10,2,0.15,1.5,0,25,-3.4,-8.6,0.136,3568,44.0,56.0,0.895,2,1,False
EUR_JPY,0.01,5,10,2,0.15,1.5,0,30,-0.4,-5.3,0.448,3015,40.2,59.8,0.565,2,1,False
EUR_JPY,0.01,5,10,2,0.15,1.5,50,15,-10.8,-15.7,0.0,5501,55.7,44.3,1.0,1,0,False
EUR_JPY,0.01,5,10,2,0.15,1.5,50,20,-6.6,-10.8,0.006,4290,48.7,51.3,0.985,2,1,False
EUR_JPY,0.01,5,10,2,0.15,1.5,50,25,-6.8,-11.7,0.012,3500,42.9,57.1,0.975,2,1,False
