  Computing S/R history...
  S/R + regime masks done.

========================================================================
PAIR: EUR_USD  swing_w=5 cluster=10p touches=2  OOS=409d
  wick stop_f  range   tgt |      p/d       P5     nc   hit%  stop%   IS  OOS  perm_p | status
  0.15    0.5      0    25 |      0.6     -4.1   5535  31.3%  68.7%    2/3    1/3   0.415 | 2/1 p=0.41
  0.15    0.5      0    30 |      2.4     -2.3   4723  28.0%  72.0%    2/3    1/3   0.215 | 2/1 p=0.21
  0.15    0.5     50    15 |    -11.9    -16.3   8237  40.9%  59.1%    0/3    0/3   1.000 | 0/0 p=1.00
  0.15    0.5     50    20 |     -7.5    -11.9   6572  34.6%  65.4%    2/3    1/3   0.995 | 2/1 p=0.99
  0.15    0.5     50    25 |     -3.3     -8.2   5505  30.3%  69.7%    2/3    1/3   0.870 | 2/1 p=0.87
  0.15    0.5     50    30 |     -1.0     -5.7   4759  27.0%  73.0%    2/3    1/3   0.670 | 2/1 p=0.67
  0.15    0.5    100    15 |    -10.7    -14.9   8269  41.2%  58.8%    0/3    0/3   1.000 | 0/0 p=1.00
  0.15    0.5    100    20 |     -5.6    -10.3   6607  35.0%  65.0%    2/3    1/3   0.995 | 2/1 p=0.99
  0.15    0.5    100    25 |     -1.2     -5.3   5503  30.8%  69.2%    2/3    1/3   0.610 | 2/1 p=0.61
  0.15    0.5    100    30 |      1.0     -3.8   4730  27.5%  72.5%    2/3    1/3   0.385 | 2/1 p=0.39
  0.15    1.0      0    15 |     -5.1     -9.5   6659  51.0%  49.0%    1/3    1/3   0.980 | 1/1 p=0.98
  0.15    1.0      0    20 |     -3.5     -8.1   5177  43.6%  56.4%    2/3    1/3   0.885 | 2/1 p=0.89
  0.15    1.0      0    25 |     -2.1     -6.7   4287  38.3%  61.7%    2/3    1/3   0.740 | 2/1 p=0.74
  0.15    1.0      0    30 |      0.8     -4.1   3653  34.8%  65.2%    2/3    1/3   0.360 | 2/1 p=0.36
  0.15    1.0     50    15 |    -10.2    -14.5   6545  49.5%  50.5%    0/3    0/3   1.000 | 0/0 p=1.00
  0.15    1.0     50    20 |     -7.5    -11.6   5119  42.5%  57.5%    2/3    1/3   1.000 | 2/1 p=1.00
  0.15    1.0     50    25 |     -6.1    -10.6   4234  37.0%  63.0%    2/3    1/3   0.985 | 2/1 p=0.98
  0.15    1.0     50    30 |     -2.2     -6.8   3633  33.8%  66.2%    2/3    1/3   0.840 | 2/1 p=0.84
  0.15    1.0    100    15 |     -8.6    -13.2   6576  49.9%  50.1%    0/3    0/3   1.000 | 0/0 p=1.00
  0.15    1.0    100    20 |     -4.9     -9.8   5152  43.1%  56.9%    2/3    1/3   0.950 | 2/1 p=0.95
  0.15    1.0    100    25 |     -4.3     -9.0   4247  37.6%  62.4%    2/3    1/3   0.930 | 2/1 p=0.93
  0.15    1.0    100    30 |     -0.6     -5.6   3661  34.3%  65.7%    2/3    1/3   0.600 | 2/1 p=0.60
