pair,tf,metric,H,thr,dir,net_ppd,amddp5_ppd,n,wr
EUR_USD,30m,osc_rating,6,0.1,follow,-59.027710144927866,-98.27815652173943,11381,42.00861084263246
EUR_USD,30m,osc_rating,6,0.1,fade,-32.357797101449435,-69.03555942029,11381,46.01528863895967
EUR_USD,30m,osc_rating,6,0.3,follow,-19.881507246376977,-32.912081159420445,3361,41.773281761380545
EUR_USD,30m,osc_rating,6,0.3,fade,-6.321391304347908,-17.868440579710224,3361,48.02142219577507
EUR_USD,30m,osc_rating,6,0.5,follow,-0.2754782608695936,-0.630063768115972,85,36.470588235294116
EUR_USD,30m,osc_rating,6,0.5,fade,-0.44614492753622503,-0.7740405797101371,85,50.588235294117645
EUR_USD,30m,ma_rating,1,0.1,follow,-80.05426086956517,-85.78224927536228,19271,34.341757044263396
EUR_USD,30m,ma_rating,1,0.1,fade,-76.95489855072456,-82.60540289855062,19271,37.10238181723834
EUR_USD,30m,ma_rating,1,0.3,follow,-73.30110144927514,-78.59823768115918,17583,34.37411135756128
EUR_USD,30m,ma_rating,1,0.3,fade,-70.1372753623188,-75.35531594202894,17583,37.388386509696865
EUR_USD,30m,ma_rating,1,0.5,follow,-58.399072463768135,-62.71668405797103,14072,34.671688459351905
EUR_USD,30m,ma_rating,1,0.5,fade,-56.28475362318834,-60.54950724637674,14072,37.25838544627629
EUR_USD,30m,ma_rating,3,0.1,follow,-81.5369275362321,-105.33863188405819,19269,39.659556801079454
EUR_USD,30m,ma_rating,3,0.1,fade,-75.45739130434751,-98.92200579710112,19269,42.534641133426746
EUR_USD,30m,ma_rating,3,0.3,follow,-76.06028985507241,-98.08444057971009,17581,39.61094363233036
EUR_USD,30m,ma_rating,3,0.3,fade,-67.36324637681136,-88.96876521739107,17581,42.80188840225243
EUR_USD,30m,ma_rating,3,0.5,follow,-59.1244057971016,-77.01986086956536,14070,40.014214641080315
EUR_USD,30m,ma_rating,3,0.5,fade,-55.54457971014473,-73.22299130434763,14070,42.80028429282161
EUR_USD,30m,ma_rating,6,0.1,follow,-89.66979710144942,-152.69217391304366,19266,41.72635731340185
EUR_USD,30m,ma_rating,6,0.1,fade,-67.30133333333308,-128.58606376811565,19266,45.961797986089486
EUR_USD,30m,ma_rating,6,0.3,follow,-81.69994202898539,-139.94885797101435,17579,41.82262927356505
EUR_USD,30m,ma_rating,6,0.3,fade,-61.70782608695636,-118.17597681159401,17579,46.06064053700438
EUR_USD,30m,ma_rating,6,0.5,follow,-62.59176811594198,-109.64791884057966,14068,41.93204435598521
EUR_USD,30m,ma_rating,6,0.5,fade,-52.06144927536233,-98.16932173913041,14068,46.061984646005115
EUR_USD,1h,summary,1,0.1,follow,-41.73007504329403,-45.74311333461595,9692,37.76310359059018
EUR_USD,1h,summary,1,0.1,fade,-39.77664036944406,-43.740842793919704,9692,39.95047461824185
EUR_USD,1h,summary,1,0.3,follow,-33.91656725033671,-37.22387531268036,7849,37.57166518027774
EUR_USD,1h,summary,1,0.3,fade,-31.909101404656525,-35.16622282085818,7849,40.540196203338006
EUR_USD,1h,summary,1,0.5,follow,-21.186453723301955,-23.322462959399704,4784,37.87625418060201
