tfs,lags,tp,ppd,tpd,n_is3,mean_h,p50_h,p90_h,short_hold,beats_baseline
H1+M30,"(8, 10, 15)",15,24.69,1.539,12,114.2,3.9,95.6,False,False
H1+M30,"(8, 10, 15)",20,21.9,1.049,10,165.8,8.4,214.3,False,False
H1+M30,"(8, 10, 15)",30,18.81,0.611,8,257.4,14.2,297.2,False,False
H1+M30,"(8, 10, 20)",5,13.17,2.496,12,56.9,0.9,27.6,False,False
H1+M30,"(8, 10, 20)",10,19.82,1.809,12,85.6,2.2,62.5,False,False
H1+M30,"(8, 10, 20)",15,33.7,2.108,11,94.3,3.8,111.0,False,True
H1+M30,"(8, 10, 20)",20,18.71,0.9,10,207.9,7.9,245.4,False,False
H1+M30,"(8, 10, 20)",30,22.19,0.716,8,219.5,13.5,251.5,False,False
H1+M30,"(8, 15, 20)",5,13.26,2.447,12,58.1,0.9,27.4,False,False
H1+M30,"(8, 15, 20)",10,19.51,1.779,12,86.9,2.2,62.8,False,False
H1+M30,"(8, 15, 20)",15,32.13,2.042,11,97.7,3.5,100.8,False,True
H1+M30,"(8, 15, 20)",20,25.03,1.196,10,163.2,7.6,163.2,False,False
H1+M30,"(8, 15, 20)",30,21.21,0.685,8,229.2,13.7,275.6,False,False
H1+M30,"(10, 15, 20)",5,14.85,3.307,12,49.2,1.0,34.1,False,False
H1+M30,"(10, 15, 20)",10,17.59,1.775,12,96.7,2.2,57.4,False,False
H1+M30,"(10, 15, 20)",15,22.02,1.408,12,132.1,3.9,107.2,False,False
H1+M30,"(10, 15, 20)",20,20.58,1.04,11,185.7,8.8,196.0,False,False
H1+M30,"(10, 15, 20)",30,20.18,0.648,10,263.9,14.4,318.9,False,False
M30+M15,"(1, 2, 3)",5,12.9,2.196,12,43.6,0.7,28.6,False,False
M30+M15,"(1, 2, 3)",10,16.25,1.476,12,61.6,1.6,61.2,False,False
M30+M15,"(1, 2, 3)",15,18.11,1.138,11,83.0,3.8,106.5,False,False
M30+M15,"(1, 2, 3)",20,19.85,0.942,9,94.9,5.9,119.2,False,False
M30+M15,"(1, 2, 3)",30,16.46,0.539,8,209.7,18.2,547.8,False,False
M30+M15,"(1, 2, 5)",5,12.64,2.152,12,44.7,0.7,29.5,False,False
M30+M15,"(1, 2, 5)",10,15.47,1.389,12,68.2,1.7,69.1,False,False
M30+M15,"(1, 2, 5)",15,18.07,1.124,11,84.9,4.0,116.2,False,False
M30+M15,"(1, 2, 5)",20,20.78,0.991,9,91.1,6.2,118.8,False,False
M30+M15,"(1, 2, 5)",30,17.57,0.564,8,201.7,19.1,498.4,False,False
M30+M15,"(1, 2, 8)",5,12.67,2.21,12,43.3,0.8,34.5,False,False
