pair,ta,td,zw,tgt,sp_med,gate,skip_pct,ppd,cday,ppc,trail_pct,wf,boot_p5,prob_pos
AUD_JPY,8,5,50.0,25.0,2.1,2.6,46.5,-57.5,5.9,-9.69,85.6,2,,
AUD_JPY,10,1,50.0,25.0,2.1,2.6,48.3,14.0,4.9,2.84,83.5,2,,
AUD_JPY,10,2,50.0,25.0,2.1,2.6,48.3,9.9,4.9,2.01,83.5,2,,
AUD_JPY,10,3,50.0,25.0,2.1,2.6,47.8,1.4,4.9,0.29,83.5,2,,
AUD_JPY,10,5,50.0,25.0,2.1,2.6,49.1,-17.6,4.7,-3.72,82.6,3,-267.8,0.466
AUD_JPY,10,7,50.0,25.0,2.1,2.6,47.5,76.9,4.5,17.19,81.8,2,,
AUD_JPY,14,1,50.0,25.0,2.1,2.6,42.4,134.5,3.4,39.82,74.3,2,,
AUD_JPY,14,2,50.0,25.0,2.1,2.6,42.4,132.0,3.4,39.07,74.3,2,,
AUD_JPY,14,3,50.0,25.0,2.1,2.6,42.7,130.2,3.4,38.86,73.9,2,,
AUD_JPY,14,5,50.0,25.0,2.1,2.6,47.4,119.3,3.4,35.33,74.9,2,,
AUD_JPY,14,7,50.0,25.0,2.1,2.6,47.9,105.6,3.5,30.38,74.1,1,,
AUD_JPY,20,1,50.0,25.0,2.1,2.6,50.4,167.8,2.6,64.31,69.6,2,,
AUD_JPY,20,2,50.0,25.0,2.1,2.6,50.4,166.1,2.6,63.66,69.6,2,,
AUD_JPY,20,3,50.0,25.0,2.1,2.6,50.2,164.1,2.6,62.57,69.5,2,,
AUD_JPY,20,5,50.0,25.0,2.1,2.6,49.1,106.1,2.6,41.29,67.5,3,78.4,1.0
AUD_JPY,20,7,50.0,25.0,2.1,2.6,51.8,95.9,2.6,36.94,64.8,2,,
AUD_JPY,30,1,50.0,25.0,2.1,2.6,54.8,135.7,2.0,67.08,14.5,2,,
AUD_JPY,30,2,50.0,25.0,2.1,2.6,54.8,135.4,2.0,66.93,14.5,2,,
AUD_JPY,30,3,50.0,25.0,2.1,2.6,54.6,134.4,2.0,66.48,13.9,2,,
AUD_JPY,30,5,50.0,25.0,2.1,2.6,54.6,133.9,2.0,66.2,13.9,2,,
AUD_JPY,30,7,50.0,25.0,2.1,2.6,54.6,133.3,2.0,65.92,13.9,2,,
CAD_JPY,5,1,50.0,12.5,2.4,3.2,26.8,63.9,8.0,7.96,89.5,2,,
CAD_JPY,6,1,50.0,12.5,2.4,3.2,22.5,69.6,6.6,10.6,87.3,2,,
CAD_JPY,6,2,50.0,12.5,2.4,3.2,21.9,63.4,6.5,9.81,87.1,2,,
CAD_JPY,7,1,50.0,12.5,2.4,3.2,26.5,123.5,5.7,21.84,85.4,3,44.1,1.0
CAD_JPY,7,2,50.0,12.5,2.4,3.2,26.0,58.6,5.6,10.44,85.5,3,29.8,1.0
