pair,tp,sl,n_rev,atr_mult,accel,is_pd,is_wr,is_n,wave_pct,tp_pct,wf1,wf2,wf3,wf_pass,oos_pd,oos_wr,oos_n,mc_p
EUR_JPY,30,0,3,2.0,True,-12.75,0.065,1287,0.998,0.002,-9.65,-12.75,-15.87,False,-11.51,0.068,486,
EUR_JPY,30,5,1,0.0,False,-298.35,0.028,31530,0.996,0.0,-276.66,-306.83,-311.56,False,-301.65,0.016,12522,
EUR_JPY,30,5,1,0.0,True,-103.61,0.027,10897,0.996,0.0,-96.24,-106.88,-107.72,False,-106.23,0.015,4393,
EUR_JPY,30,5,1,0.5,False,-151.96,0.029,15971,0.995,0.0,-135.75,-158.85,-161.29,False,-148.88,0.018,6182,
EUR_JPY,30,5,1,0.5,True,-82.63,0.028,8687,0.996,0.0,-74.63,-85.9,-87.35,False,-83.68,0.016,3460,
EUR_JPY,30,5,1,1.0,False,-69.54,0.032,7307,0.994,0.0,-57.02,-71.8,-79.79,False,-65.77,0.023,2762,
EUR_JPY,30,5,1,1.0,True,-50.7,0.031,5302,0.996,0.0,-42.02,-52.73,-57.34,False,-48.97,0.021,2058,
EUR_JPY,30,5,1,2.0,False,-13.63,0.035,1438,0.985,0.001,-9.29,-14.38,-17.23,False,-12.36,0.037,539,
EUR_JPY,30,5,1,2.0,True,-12.37,0.033,1291,0.991,0.0,-8.33,-12.82,-15.95,False,-11.4,0.035,486,
EUR_JPY,30,5,2,0.0,False,-298.34,0.043,31339,0.993,0.0,-277.57,-306.23,-311.22,False,-302.87,0.026,12459,
EUR_JPY,30,5,2,0.0,True,-103.99,0.045,10881,0.993,0.0,-96.6,-107.1,-108.28,False,-107.21,0.024,4388,
EUR_JPY,30,5,2,0.5,False,-152.53,0.048,15911,0.992,0.0,-136.94,-158.66,-161.99,False,-150.77,0.029,6168,
EUR_JPY,30,5,2,0.5,True,-83.08,0.047,8674,0.992,0.0,-75.52,-85.92,-87.79,False,-84.48,0.026,3456,
EUR_JPY,30,5,2,1.0,False,-70.2,0.05,7295,0.99,0.0,-58.39,-71.71,-80.5,False,-66.57,0.033,2756,
EUR_JPY,30,5,2,1.0,True,-51.21,0.047,5297,0.991,0.0,-43.02,-52.73,-57.88,False,-49.36,0.03,2054,
EUR_JPY,30,5,2,2.0,False,-13.74,0.052,1437,0.981,0.001,-9.62,-14.21,-17.4,False,-12.39,0.046,539,
EUR_JPY,30,5,2,2.0,True,-12.48,0.049,1290,0.987,0.0,-8.8,-12.59,-16.05,False,-11.33,0.045,486,
EUR_JPY,30,5,3,0.0,False,-293.12,0.059,30716,0.988,0.0,-274.02,-301.71,-303.64,False,-296.88,0.04,12215,
EUR_JPY,30,5,3,0.0,True,-103.7,0.06,10817,0.987,0.0,-97.08,-107.11,-106.9,False,-106.74,0.039,4361,
EUR_JPY,30,5,3,0.5,False,-150.6,0.065,15728,0.985,0.0,-136.24,-157.25,-158.32,False,-148.59,0.044,6093,
EUR_JPY,30,5,3,0.5,True,-82.73,0.062,8627,0.986,0.0,-75.74,-85.86,-86.59,False,-84.23,0.04,3441,
EUR_JPY,30,5,3,1.0,False,-69.45,0.069,7263,0.982,0.001,-57.95,-71.51,-78.88,False,-66.06,0.048,2744,
EUR_JPY,30,5,3,1.0,True,-50.95,0.065,5284,0.983,0.0,-42.98,-52.77,-57.09,False,-49.54,0.042,2050,
EUR_JPY,30,5,3,2.0,False,-13.72,0.068,1434,0.971,0.003,-9.72,-14.27,-17.18,False,-12.29,0.067,539,
EUR_JPY,30,5,3,2.0,True,-12.42,0.064,1287,0.977,0.002,-8.82,-12.69,-15.75,False,-11.22,0.068,486,
EUR_JPY,30,10,1,0.0,False,-299.18,0.028,31530,1.0,0.0,-278.77,-307.03,-311.74,False,-301.99,0.016,12522,
EUR_JPY,30,10,1,0.0,True,-103.87,0.027,10897,1.0,0.0,-96.89,-106.92,-107.8,False,-106.37,0.015,4393,
EUR_JPY,30,10,1,0.5,False,-152.5,0.029,15971,0.999,0.0,-137.0,-159.03,-161.46,False,-149.09,0.018,6182,
