is_pd,is_wr,is_n,wf1,wf2,wf3,wf_pass,oos_pd,oos_wr,oos_n,mc_p,n_filtered,pair,strategy,filter,nc,dm
1.12,1.0,53,0.82,0.97,0.36,3,0.9,1.0,18,0.0,54,AUD_USD,SMA16,nc2_dm3.0,2,3.0
0.07,1.0,4,0.21,0.0,3.4,2,0.94,1.0,23,,3,NZD_JPY,SMA16,nc2_dm3.0,2,3.0
0.09,1.0,5,0.27,7.56,0.0,2,1.32,1.0,32,,0,CHF_JPY,SMA16,nc2_dm3.0,2,3.0
0.2,1.0,11,0.61,4.66,9.38,3,4.63,0.981,106,,20,GBP_JPY,SMA16,nc3_dm2.0,3,2.0
0.28,1.0,14,0.84,9.27,3.03,3,6.88,1.0,129,,4,USD_JPY,SMA16,nc3_dm2.0,3,2.0
0.1,1.0,5,0.3,1.08,6.69,3,4.99,1.0,109,,0,EUR_JPY,SMA16,nc3_dm2.0,3,2.0
2.38,1.0,105,0.35,7.4,1.92,3,2.42,1.0,47,0.0,95,GBP_USD,SMA16,nc3_dm2.0,3,2.0
0.11,1.0,6,0.34,0.07,6.42,3,3.16,0.986,71,,4,AUD_JPY,SMA16,nc3_dm2.0,3,2.0
2.1,1.0,91,1.74,0.06,0.87,3,3.11,1.0,57,0.0,86,EUR_USD,SMA16,nc3_dm2.0,3,2.0
0.6,1.0,31,1.65,0.51,0.49,3,0.31,1.0,7,0.0,21,EUR_GBP,SMA16,nc3_dm2.0,3,2.0
1.07,1.0,50,0.82,0.97,0.41,3,0.93,1.0,19,0.0,31,AUD_USD,SMA16,nc3_dm2.0,3,2.0
0.09,1.0,5,0.28,0.0,3.45,2,1.31,1.0,30,,2,NZD_JPY,SMA16,nc3_dm2.0,3,2.0
0.09,1.0,5,0.27,7.53,0.0,2,1.29,0.971,34,,0,CHF_JPY,SMA16,nc3_dm2.0,3,2.0
0.2,1.0,11,0.6,4.72,9.37,3,4.62,0.981,106,,18,GBP_JPY,SMA16,nc3_dm2.5,3,2.5
