rebal_idx,entry_ts,exit_ts,pair,direction,side,gross_pips,spread_rt_pips,carry_pips,net_pips
4352,2023-08-28 17:00:00+00:00,2023-09-12 09:00:00+00:00,NZD_USD,1,long,-13.699999999999823,1.5499999999996072,-2.5456583835616446,-17.795658383561076
4352,2023-08-28 17:00:00+00:00,2023-09-12 09:00:00+00:00,USD_JPY,1,long,58.80000000000223,1.8000000000000682,28.599493047945213,85.59949304794738
4352,2023-08-28 17:00:00+00:00,2023-09-12 09:00:00+00:00,EUR_GBP,1,long,3.1000000000003247,1.5500000000001624,-8.726830561643833,-7.176830561643671
4352,2023-08-28 17:00:00+00:00,2023-09-12 09:00:00+00:00,EUR_JPY,-1,short,100.60000000000002,2.2999999999996135,-35.706342431506854,62.593657568493555
4352,2023-08-28 17:00:00+00:00,2023-09-12 09:00:00+00:00,EUR_USD,-1,short,111.60000000000058,1.40000000000029,3.0574130136986315,113.25741301369892
4352,2023-08-28 17:00:00+00:00,2023-09-12 09:00:00+00:00,GBP_JPY,-1,short,124.00000000000091,3.2000000000010687,-54.70443540410958,66.09556459589027
4416,2023-09-12 09:00:00+00:00,2023-09-27 01:00:00+00:00,AUD_USD,1,long,-32.80000000000061,1.30000000000019,-6.806425068493151,-40.906425068493945
4416,2023-09-12 09:00:00+00:00,2023-09-27 01:00:00+00:00,NZD_USD,1,long,32.10000000000046,1.4499999999995072,-3.0097839452054806,27.640216054795477
4416,2023-09-12 09:00:00+00:00,2023-09-27 01:00:00+00:00,EUR_USD,1,long,-147.20000000000067,1.5500000000001624,-12.057182602739726,-160.80718260274054
4416,2023-09-12 09:00:00+00:00,2023-09-27 01:00:00+00:00,USD_JPY,-1,short,-190.19999999999868,1.7999999999986471,-42.223372623287666,-234.223372623285
4416,2023-09-12 09:00:00+00:00,2023-09-27 01:00:00+00:00,GBP_JPY,-1,short,241.39999999999873,3.0500000000017735,-54.756186460273966,183.593813539723
4416,2023-09-12 09:00:00+00:00,2023-09-27 01:00:00+00:00,CAD_JPY,-1,short,-188.10000000000002,2.049999999999841,-27.530248445136976,-217.68024844513684
4480,2023-09-27 01:00:00+00:00,2023-10-11 17:00:00+00:00,NZD_JPY,1,long,140.80000000000013,3.0000000000001137,14.965558232876706,152.7655582328767
4480,2023-09-27 01:00:00+00:00,2023-10-11 17:00:00+00:00,NZD_USD,1,long,91.19999999999905,1.5999999999993797,-2.340943068493152,87.25905693150652
4480,2023-09-27 01:00:00+00:00,2023-10-11 17:00:00+00:00,AUD_JPY,1,long,55.400000000000205,1.9500000000007844,12.365636191780817,65.81563619178024
4480,2023-09-27 01:00:00+00:00,2023-10-11 17:00:00+00:00,USD_JPY,-1,short,-15.600000000000591,1.8999999999991246,-39.27264184657535,-56.77264184657506
4480,2023-09-27 01:00:00+00:00,2023-10-11 17:00:00+00:00,EUR_GBP,-1,short,69.40000000000057,1.3499999999999623,0.3502199499999984,68.4002199500006
4480,2023-09-27 01:00:00+00:00,2023-10-11 17:00:00+00:00,GBP_USD,-1,short,-164.200000000001,1.9500000000005624,-4.044292969863012,-170.1942929698646
4544,2023-10-11 17:00:00+00:00,2023-10-26 09:00:00+00:00,EUR_GBP,1,long,84.40000000000002,1.4500000000000624,-8.941549441780818,74.00845055821914
4544,2023-10-11 17:00:00+00:00,2023-10-26 09:00:00+00:00,USD_JPY,1,long,101.20000000000005,1.7499999999998295,32.12598699863013,131.57598699863036
4544,2023-10-11 17:00:00+00:00,2023-10-26 09:00:00+00:00,NZD_USD,1,long,-201.69999999999908,1.5999999999993797,-2.508153287671234,-205.80815328766968
4544,2023-10-11 17:00:00+00:00,2023-10-26 09:00:00+00:00,AUD_JPY,-1,short,72.80000000000086,1.75000000000054,-26.452909499999997,44.59709050000033
4544,2023-10-11 17:00:00+00:00,2023-10-26 09:00:00+00:00,GBP_JPY,-1,short,155.79999999999927,2.80000000000058,-61.73038482808217,91.26961517191651
4544,2023-10-11 17:00:00+00:00,2023-10-26 09:00:00+00:00,EUR_JPY,-1,short,-19.50000000000216,2.000000000001023,-42.29836074109589,-63.798360741099074
4608,2023-10-26 09:00:00+00:00,2023-11-10 02:00:00+00:00,EUR_GBP,1,long,17.599999999999838,1.3999999999997348,-7.8906321631506815,8.309367836849422
4608,2023-10-26 09:00:00+00:00,2023-11-10 02:00:00+00:00,USD_JPY,1,long,119.99999999999886,1.5000000000000568,28.32204356164384,146.82204356164266
4608,2023-10-26 09:00:00+00:00,2023-11-10 02:00:00+00:00,CAD_JPY,1,long,98.39999999999947,2.0000000000003126,16.89399808827398,113.29399808827313
4608,2023-10-26 09:00:00+00:00,2023-11-10 02:00:00+00:00,GBP_USD,-1,short,-101.59999999999947,1.6500000000008175,-4.338129677808217,-107.5881296778085
4608,2023-10-26 09:00:00+00:00,2023-11-10 02:00:00+00:00,NZD_USD,-1,short,-75.3999999999999,1.3999999999997348,-2.322190520547944,-79.12219052054759
4608,2023-10-26 09:00:00+00:00,2023-11-10 02:00:00+00:00,AUD_USD,-1,short,-36.79999999999905,1.2000000000000899,0.5166782054794522,-37.48332179451969
4672,2023-11-10 02:00:00+00:00,2023-11-24 18:00:00+00:00,AUD_USD,1,long,225.80000000000044,4.049999999999887,-5.845517999999999,215.90448200000054
4672,2023-11-10 02:00:00+00:00,2023-11-24 18:00:00+00:00,NZD_USD,1,long,192.59999999999943,5.950000000000677,-2.4503329315068503,184.1996670684919
4672,2023-11-10 02:00:00+00:00,2023-11-24 18:00:00+00:00,EUR_USD,1,long,270.50000000000017,5.749999999999922,-10.668019561643835,254.0819804383564
4672,2023-11-10 02:00:00+00:00,2023-11-24 18:00:00+00:00,USD_JPY,-1,short,194.20000000000073,4.300000000000637,-39.16610124383562,150.73389875616448
4672,2023-11-10 02:00:00+00:00,2023-11-24 18:00:00+00:00,GBP_JPY,-1,short,-328.49999999999966,13.599999999999568,-50.79847982712328,-392.8984798271225
4672,2023-11-10 02:00:00+00:00,2023-11-24 18:00:00+00:00,CAD_JPY,-1,short,12.399999999999523,13.400000000000034,-25.62000157260275,-26.62000157260326
4736,2023-11-24 18:00:00+00:00,2023-12-11 10:00:00+00:00,CAD_JPY,1,long,-182.60000000000076,13.600000000000279,16.89955619007931,-179.30044380992172
4736,2023-11-24 18:00:00+00:00,2023-12-11 10:00:00+00:00,AUD_JPY,1,long,-240.6000000000006,8.100000000000307,14.190763068493148,-234.50923693150776
4736,2023-11-24 18:00:00+00:00,2023-12-11 10:00:00+00:00,GBP_JPY,1,long,-433.4000000000003,13.800000000000523,35.58360983082191,-411.61639016917894
4736,2023-11-24 18:00:00+00:00,2023-12-11 10:00:00+00:00,EUR_GBP,-1,short,126.39999999999984,9.599999999999607,0.3778350212328747,117.1778350212331
4736,2023-11-24 18:00:00+00:00,2023-12-11 10:00:00+00:00,NZD_USD,-1,short,-35.60000000000007,5.900000000000349,-2.4378312328767104,-43.93783123287713
4736,2023-11-24 18:00:00+00:00,2023-12-11 10:00:00+00:00,EUR_USD,-1,short,176.30000000000032,5.749999999999922,1.8814849315068494,172.43148493150727
4800,2023-12-11 10:00:00+00:00,2023-12-27 02:00:00+00:00,EUR_GBP,1,long,117.80000000000013,1.3499999999994072,-8.415201503561644,108.03479849643907
4800,2023-12-11 10:00:00+00:00,2023-12-27 02:00:00+00:00,EUR_USD,1,long,280.0000000000002,1.500000000000945,-12.192022356164383,266.3079776438349
4800,2023-12-11 10:00:00+00:00,2023-12-27 02:00:00+00:00,USD_JPY,1,long,-372.2999999999985,1.7499999999998295,30.17940140273972,-343.8705985972586
4800,2023-12-11 10:00:00+00:00,2023-12-27 02:00:00+00:00,GBP_JPY,-1,short,252.70000000000152,3.0500000000003524,-58.022094492054784,191.6279055079464
4800,2023-12-11 10:00:00+00:00,2023-12-27 02:00:00+00:00,NZD_JPY,-1,short,-72.80000000000086,2.650000000000574,-30.59171169178081,-106.04171169178224
