pair,sig_tf,hold,d,is_n,is_wr,is_ppd,oos_n,oos_wr,oos_ppd,oos_dd
EUR_USD,12,256,trd,1105,51.58371040723983,-0.10516286467949211,474,47.04641350210971,0.727793630072906,-1337.599999999985
EUR_JPY,1,3072,trd,93,48.38709677419355,2.554382082415339,40,57.49999999999999,0.6884345505585705,-851.6000000000105
EUR_USD,3,256,trd,1105,49.7737556561086,-0.611159564903772,474,48.31223628691983,0.6847082471725761,-1193.999999999999
GBP_JPY,3,3072,trd,93,52.68817204301075,0.8748634149715487,40,47.5,0.6250873929970411,-1531.7999999999984
EUR_USD,3,3072,ctr,93,44.086021505376344,-1.974592122032443,40,50.0,0.5922493444080886,-807.0000000000001
NZD_USD,3,256,ctr,1105,47.601809954751126,-1.1577873719362353,474,50.0,0.5794401765185446,-814.9000000000174
EUR_USD,12,128,ctr,2201,47.02407996365289,-2.0111402009503294,944,48.516949152542374,0.5337929600407637,-1727.5999999999513
NZD_USD,3,512,ctr,554,45.48736462093863,-1.8110718343394714,238,50.84033613445378,0.48837863752391236,-578.7000000000063
GBP_JPY,12,256,ctr,1105,47.782805429864254,-1.7804989181872737,474,48.734177215189874,0.4683497568244551,-2286.9000000000365
NZD_JPY,48,256,ctr,1105,46.244343891402714,-3.742642784457451,474,50.42194092827004,0.45297875535718285,-1242.600000000003
NZD_JPY,1,3072,ctr,93,48.38709677419355,-0.3470573706517595,40,47.5,0.4438958908540416,-853.3000000000072
GBP_JPY,48,3072,ctr,93,48.38709677419355,-0.9252539542971122,40,52.5,0.4247985860009237,-1691.700000000003
EUR_USD,1,512,ctr,554,46.75090252707581,-2.423326845750143,238,52.10084033613446,0.405701281147751,-936.0000000000034
EUR_GBP,1,3072,trd,93,55.91397849462365,0.9921757772750097,40,52.5,0.397317098529399,-276.5000000000006
GBP_USD,48,3072,ctr,93,52.68817204301075,0.5233246722453415,40,50.0,0.3584238069382996,-838.5999999999983
USD_JPY,48,3072,trd,93,50.53763440860215,3.686476254458163,40,52.5,0.35586197336041425,-2067.400000000006
GBP_JPY,1,256,ctr,1105,47.782805429864254,-0.5948274533435689,474,50.0,0.2692254196365468,-2490.100000000024
EUR_USD,12,3072,ctr,93,50.53763440860215,-0.7477916201503427,40,57.49999999999999,0.2347571133163301,-780.6999999999986
EUR_JPY,12,256,ctr,1105,47.873303167420815,-1.8473211551191306,474,51.47679324894515,0.22846897635240246,-1169.7999999999724
AUD_USD,1,256,trd,1105,49.321266968325794,0.21052490145152003,474,48.31223628691983,0.19469935191731894,-900.9999999999426
