id,strategy,pair,account_id,trade_id,direction,entry_price,exit_price,entry_time,exit_time,pnl_pips,exit_reason,hours_held,units,mfe_pips,mae_pips,capture_ratio,amddp1,pnl_over_mae,is_paper,label
146,range_neat,USD_JPY,001-001-${OANDA_CUSTOMER_ID}-007,2912,1,158.655,158.513,2026-04-01 08:22:47.129669,2026-04-01 08:34:33.014731,-14.2,S5_SOFT_STOP,0.2,32,1.5,15.1,-9.47,,,false,""
147,wf_pnlmae,USD_JPY,001-001-${OANDA_CUSTOMER_ID}-013,702,1,158.655,158.513,2026-04-01 08:22:47.102944,2026-04-01 08:34:33.034609,-14.2,S5_SOFT_STOP,0.2,31,1.5,15.1,-9.47,,,false,""
148,range_neat,EUR_USD,001-001-${OANDA_CUSTOMER_ID}-007,2868,1,1.158,1.16032,2026-04-01 07:49:33.453858,2026-04-01 08:48:18.719159,23.2,S5_TRAIL_TP,0.98,7,30.7,4.8,0.76,,,false,""
150,wf_pnlmae,EUR_USD,001-001-${OANDA_CUSTOMER_ID}-013,658,1,1.158,1.16032,2026-04-01 07:49:33.45381,2026-04-01 08:48:18.735738,23.2,S5_TRAIL_TP,0.98,7,30.7,4.8,0.76,,,false,""
151,pnl_mae_a,EUR_USD,001-001-${OANDA_CUSTOMER_ID}-012,451,1,1.158,1.16032,2026-04-01 07:49:33.463724,2026-04-01 08:48:18.751281,23.2,S5_TRAIL_TP,0.98,4,30.7,4.8,0.76,,,false,""
149,asi_mc_008,EUR_USD,001-001-${OANDA_CUSTOMER_ID}-008,1191,1,1.158,1.16032,2026-04-01 07:49:33.480679,2026-04-01 08:48:18.767329,23.2,S5_TRAIL_TP,0.98,7,30.7,4.8,0.76,,,false,""
152,wf_pnlmae,AUD_USD,001-001-${OANDA_CUSTOMER_ID}-013,666,1,0.69295,0.69455,2026-04-01 07:50:54.855537,2026-04-01 08:52:25.263663,16.0,S5_TRAIL_TP,1.03,11,23.3,5.7,0.69,,,false,""
154,range_neat,AUD_USD,001-001-${OANDA_CUSTOMER_ID}-007,2876,1,0.69295,0.69455,2026-04-01 07:50:54.853773,2026-04-01 08:52:25.285374,16.0,S5_TRAIL_TP,1.03,11,23.3,5.7,0.69,,,false,""
153,asi_mc_008,AUD_USD,001-001-${OANDA_CUSTOMER_ID}-008,1199,1,0.69295,0.69455,2026-04-01 07:50:54.869105,2026-04-01 08:52:25.299603,16.0,S5_TRAIL_TP,1.03,10,23.3,5.7,0.69,,,false,""
155,range_neat,NZD_USD,001-001-${OANDA_CUSTOMER_ID}-007,2872,1,0.57568,0.57653,2026-04-01 07:50:08.588398,2026-04-01 08:54:16.633281,8.5,S5_TRAIL_TP,1.07,14,16.0,10.6,0.53,,,false,""
157,pnl_mae_a,NZD_USD,001-001-${OANDA_CUSTOMER_ID}-012,455,1,0.57569,0.57653,2026-04-01 07:50:08.60002,2026-04-01 08:54:16.649428,8.4,S5_TRAIL_TP,1.07,9,15.9,10.8,0.53,,,false,""
158,wf_pnlmae,NZD_USD,001-001-${OANDA_CUSTOMER_ID}-013,662,1,0.57568,0.57653,2026-04-01 07:50:08.589835,2026-04-01 08:54:16.672894,8.5,S5_TRAIL_TP,1.07,13,16.0,10.6,0.53,,,false,""
