pair,S_bars,T_s_bars,W_pips,is_net,oos_net,oos_dd,oos_trades,oos_tp,oos_stag,oos_scratch,oos_end
CAD_JPY,48,96.0,15.0,448.66000000000565,-203.90000000000396,-310.3799999999996,75,34,31,9,1
CAD_JPY,72,,,-654.819999999999,-39.58000000000226,-221.16000000000008,43,25,17,0,1
CAD_JPY,72,288.0,10.0,-545.3600000000001,-77.58000000000267,-221.16000000000008,43,23,15,4,1
CAD_JPY,72,288.0,5.0,-606.7799999999987,-80.12000000000207,-221.16000000000008,42,22,15,4,1
CAD_JPY,72,96.0,15.0,-648.8800000000031,-97.80000000000047,-257.32000000000045,65,32,13,19,1
CAD_JPY,144,,,-691.1799999999995,-221.1799999999983,-282.47999999999826,48,31,16,0,1
CAD_JPY,144,288.0,10.0,-630.9799999999998,-142.0999999999983,-237.03999999999957,50,32,14,3,1
CAD_JPY,144,288.0,5.0,-730.1799999999977,-141.639999999999,-237.03999999999957,49,31,14,3,1
CAD_JPY,144,96.0,15.0,-639.7600000000049,-215.31999999999817,-255.87999999999715,62,31,6,24,1
CAD_JPY,288,,,-564.5799999999999,-313.2800000000001,-365.2399999999992,28,21,6,0,1
CAD_JPY,288,288.0,10.0,-1027.4400000000016,-305.90000000000083,-357.86,30,20,5,4,1
CAD_JPY,288,288.0,5.0,-909.2399999999977,-314.44000000000045,-366.39999999999964,29,19,5,4,1
CAD_JPY,288,96.0,15.0,-730.400000000004,-234.03999999999368,-316.4199999999978,69,34,5,29,1
AUD_USD,12,,,-295.53999999999434,347.75999999999624,-47.59999999999698,134,34,99,0,1
AUD_USD,12,288.0,10.0,-299.69999999999493,333.8199999999954,-99.38000000000048,153,40,109,3,1
AUD_USD,12,288.0,5.0,-298.17999999999535,315.2399999999943,-99.78000000000199,151,39,108,3,1
AUD_USD,12,96.0,15.0,-641.2199999999959,15.399999999999181,-220.05999999999366,235,50,168,16,1
AUD_USD,24,,,-233.20000000000036,30.739999999996627,-181.6000000000003,101,32,68,0,1
AUD_USD,24,288.0,10.0,-297.2799999999983,223.31999999999837,-78.77999999999952,118,39,74,4,1
AUD_USD,24,288.0,5.0,-297.1799999999977,27.959999999997315,-183.52000000000032,104,32,69,2,1
AUD_USD,24,96.0,15.0,-536.959999999996,211.59999999999638,-85.58000000000075,120,40,73,6,1
AUD_USD,48,,,-326.67999999999597,240.5199999999967,-123.10000000000082,88,42,45,0,1
AUD_USD,48,288.0,10.0,-433.47999999999513,233.53999999999763,-123.10000000000082,91,43,45,2,1
AUD_USD,48,288.0,5.0,-363.6999999999953,238.3599999999977,-123.10000000000082,89,42,45,1,1
AUD_USD,48,96.0,15.0,-417.6599999999956,215.65999999999588,-123.53999999999999,94,43,39,11,1
AUD_USD,72,,,-304.13999999999737,417.13999999999334,-107.02000000000095,71,41,29,0,1
AUD_USD,72,288.0,10.0,-185.81999999999567,410.1599999999941,-107.02000000000095,74,42,29,2,1
AUD_USD,72,288.0,5.0,-301.5599999999967,414.9799999999943,-107.02000000000095,72,41,29,1,1
AUD_USD,72,96.0,15.0,-680.5399999999947,390.13999999999254,-98.32000000000056,81,40,19,21,1
AUD_USD,144,,,-47.88000000000218,289.6599999999994,-196.83999999999793,109,73,35,0,1
AUD_USD,144,288.0,10.0,-384.1400000000007,125.47999999999998,-299.40000000000333,117,74,38,4,1
AUD_USD,144,288.0,5.0,-409.93999999999994,111.14000000000041,-189.65999999999943,36,24,8,3,1
AUD_USD,144,96.0,15.0,-498.69999999999845,228.3799999999943,-248.58000000000118,142,67,12,62,1
AUD_USD,288,,,-468.8999999999959,-251.10000000000085,-539.1200000000002,75,54,20,0,1
AUD_USD,288,288.0,10.0,-484.0199999999961,-419.9000000000002,-687.0399999999995,85,53,22,9,1
AUD_USD,288,288.0,5.0,-508.7799999999937,-179.35999999999973,-364.77999999999906,36,22,8,5,1
AUD_USD,288,96.0,15.0,-429.9399999999945,201.15999999999633,-249.82000000000113,129,62,8,58,1
EUR_GBP,12,,,-40.50000000000021,-116.09999999999937,-119.19999999999774,33,1,31,0,1
EUR_GBP,12,288.0,10.0,-124.30000000000865,-202.70000000000186,-233.0000000000013,155,10,132,12,1
EUR_GBP,12,288.0,5.0,-47.000000000000085,-210.99999999999898,-221.6999999999966,124,6,108,9,1
EUR_GBP,12,96.0,15.0,-381.9000000000094,-357.10000000000537,-348.70000000000556,153,4,130,18,1
EUR_GBP,24,,,41.39999999999881,-90.60000000000227,-107.60000000000181,32,1,30,0,1
