pair,reason,bars,pips,mfe,mae,mfe_30m,mfe_60m,mfe_120m,mfe_240m,mfe_480m,mfe_720m,mfe_1440m
CAD_JPY,TP,1146,20.0,21.89999999999941,-88.900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAD_JPY,TP,5056,20.0,24.59999999999951,-182.00000000000074,6.199999999999761,6.199999999999761,6.799999999999784,7.099999999999795,7.099999999999795,7.099999999999795,7.099999999999795
CAD_JPY,TP,250,20.0,20.600000000000307,-15.59999999999917,2.599999999999625,2.7000000000001023,7.30000000000075,15.200000000000102,15.200000000000102,18.80000000000024,
CAD_JPY,TP,68,20.0,20.699999999999363,-9.199999999999875,2.2999999999996135,5.299999999999727,7.9999999999998295,7.9999999999998295,,,
CAD_JPY,TP,7,20.0,22.59999999999991,-2.7999999999991587,16.800000000000637,,,,,,
CAD_JPY,TP,8418,20.0,23.399999999999466,-367.3000000000002,1.5999999999991132,1.5999999999991132,1.5999999999991132,1.5999999999991132,1.5999999999991132,1.5999999999991132,1.5999999999991132
CAD_JPY,TP,317,20.0,20.199999999999818,-59.7999999999999,9.199999999999875,9.199999999999875,9.199999999999875,9.199999999999875,9.199999999999875,9.199999999999875,9.199999999999875
CAD_JPY,TP,24,20.0,21.099999999999852,-15.400000000001057,0.0,1.8999999999991246,21.099999999999852,,,,
CAD_JPY,TP,22,20.0,20.49999999999983,-2.1000000000000796,6.399999999999295,15.399999999999636,,,,,
CAD_JPY,TP,42,20.0,42.499999999999716,-2.2999999999996135,6.499999999999773,7.500000000000284,16.29999999999967,,,,
CAD_JPY,TP,1,20.0,41.59999999999968,0.0,,,,,,,
CAD_JPY,TP,45,20.0,21.20000000000033,-30.59999999999974,0.0,0.0,0.0,,,,
CAD_JPY,TP,15,20.0,21.79999999999893,-0.30000000000001137,8.599999999999852,16.400000000000148,,,,,
CAD_JPY,end,6710,-225.3,13.599999999999568,-322.7000000000004,11.599999999999966,13.599999999999568,13.599999999999568,13.599999999999568,13.599999999999568,13.599999999999568,13.599999999999568
AUD_USD,TP,8,20.0,15.600000000000058,0.0,5.1000000000001044,,,,,,
AUD_USD,TP,462,20.0,17.09999999999989,-34.19999999999978,8.60000000000083,9.600000000000719,9.600000000000719,9.600000000000719,9.600000000000719,9.600000000000719,14.000000000000679
AUD_USD,end,50959,-602.8999999999995,11.900000000000244,-750.9999999999994,4.899999999999904,7.400000000000739,7.400000000000739,7.400000000000739,7.400000000000739,7.400000000000739,7.400000000000739
EUR_GBP,TP,25,20.0,18.200000000000436,0.0,1.2999999999996348,9.299999999999864,16.199999999999548,,,,
EUR_GBP,TP,2997,20.0,17.199999999999438,-120.2000000000003,0.0,0.0,0.0,0.0,5.600000000000049,5.600000000000049,5.600000000000049
EUR_GBP,end,48423,-110.40000000000049,0.0,-262.6000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZD_USD,TP,21,20.0,17.09999999999989,-3.8000000000004697,0.0,0.0,,,,,
NZD_USD,TP,371,20.0,15.199999999999658,-37.00000000000036,3.7999999999993594,4.799999999999249,4.799999999999249,4.799999999999249,4.799999999999249,4.799999999999249,7.399999999999629
NZD_USD,TP,3742,20.0,15.800000000000258,-117.80000000000013,0.0,0.0,0.0,0.0,15.800000000000258,15.800000000000258,15.800000000000258
NZD_USD,TP,3,20.0,16.200000000000657,0.0,,,,,,,
NZD_USD,TP,442,20.0,16.800000000000146,-5.600000000000049,3.4000000000000696,5.600000000000049,5.600000000000049,6.200000000000649,13.400000000000079,13.400000000000079,13.600000000000279
NZD_USD,TP,7119,20.0,17.09999999999989,-176.89999999999984,2.300000000000635,2.4000000000001798,4.300000000000415,4.300000000000415,5.5000000000005045,17.09999999999989,17.09999999999989
NZD_USD,TP,2435,20.0,17.399999999999636,-70.00000000000006,0.0,0.0,0.2999999999997449,10.400000000000409,13.100000000000334,14.800000000000368,17.399999999999636
NZD_USD,TP,748,20.0,16.200000000000657,-56.89999999999973,2.1999999999999797,2.1999999999999797,4.00000000000067,6.4000000000008495,8.299999999999974,8.299999999999974,8.299999999999974
NZD_USD,TP,435,20.0,17.800000000000036,-23.100000000000342,0.5999999999994898,0.5999999999994898,0.5999999999994898,0.5999999999994898,0.5999999999994898,0.5999999999994898,0.5999999999994898
NZD_USD,TP,4313,20.0,18.200000000000436,-99.19999999999928,2.1999999999999797,6.700000000000594,9.500000000000064,11.999999999999789,16.200000000000657,16.200000000000657,16.200000000000657
NZD_USD,TP,49,20.0,17.800000000000036,-5.600000000000049,3.4000000000000696,3.4000000000000696,3.4000000000000696,17.800000000000036,,,
NZD_USD,TP,141,20.0,17.000000000000348,-5.999999999999339,0.0,0.0,0.6000000000006,2.1999999999999797,5.800000000000249,,
NZD_USD,TP,651,20.0,18.399999999999526,-31.10000000000057,0.0,0.0,0.0,0.40000000000040004,0.40000000000040004,0.40000000000040004,0.40000000000040004
NZD_USD,TP,2461,20.0,16.399999999999746,-73.40000000000013,0.0,0.0,0.0,7.399999999999629,7.399999999999629,7.399999999999629,7.399999999999629
NZD_USD,end,28438,-235.00000000000074,13.199999999999878,-493.7000000000002,4.599999999999049,4.599999999999049,4.599999999999049,5.199999999999649,5.199999999999649,5.199999999999649,5.199999999999649
