pair,T_s_h,k,is_net,oos_net,oos_dd,oos_trades,avg_W,oos_tp,oos_scratch,oos_end
EUR_USD,24,0.3,-161.8200000000009,-118.83999999999679,-262.2199999999992,12,4.754895366942994,8,3,1
EUR_USD,24,0.5,-161.8200000000009,-115.5599999999975,-262.2199999999992,13,7.938767476228297,9,3,1
EUR_USD,24,0.7,-161.8200000000009,-91.79999999999953,-262.2199999999992,15,11.428803549183803,11,3,1
EUR_USD,24,1.0,-161.8200000000009,-106.79999999999785,-262.2199999999992,15,16.203754400368766,11,3,1
EUR_USD,24,1.5,-161.8200000000009,-92.7400000000012,-262.2199999999992,17,24.905154572290837,13,3,1
EUR_USD,24,2.0,-161.8200000000009,-96.37999999999839,-238.4599999999989,24,32.00209882380017,17,6,1
EUR_USD,48,0.3,-170.58000000000058,-118.83999999999679,-262.2199999999992,12,4.754895366942994,8,3,1
EUR_USD,48,0.5,-170.58000000000058,-115.5599999999975,-262.2199999999992,13,7.938767476228297,9,3,1
EUR_USD,48,0.7,-170.58000000000058,-91.79999999999953,-262.2199999999992,15,11.428803549183803,11,3,1
EUR_USD,48,1.0,-170.58000000000058,-106.79999999999785,-262.2199999999992,15,16.203754400368766,11,3,1
EUR_USD,48,1.5,-170.58000000000058,-92.7400000000012,-262.2199999999992,17,24.905154572290837,13,3,1
EUR_USD,48,2.0,-170.58000000000058,-96.37999999999839,-238.4599999999989,24,32.00209882380017,17,6,1
GBP_USD,6,0.3,820.1800000000039,-111.5800000000014,-448.9800000000026,27,5.275215431263498,19,7,1
GBP_USD,6,0.5,506.419999999996,735.2999999999955,-241.6399999999993,105,10.342358214745268,64,40,1
GBP_USD,6,0.7,579.2200000000013,613.4399999999962,-241.23999999999887,104,14.077213582444655,64,39,1
GBP_USD,6,1.0,536.060000000002,132.45999999999881,-326.640000000001,56,19.264880909071444,34,21,1
GBP_USD,6,1.5,371.3400000000057,666.1400000000091,-157.65999999999985,179,29.610891003733187,102,76,1
GBP_USD,6,2.0,13.560000000001168,320.0800000000209,-352.05999999998517,213,39.71102726584964,116,96,1
GBP_USD,8,0.3,852.8399999999998,-142.30000000000172,-448.9800000000026,25,5.302752339158337,18,6,1
GBP_USD,8,0.5,899.0599999999981,778.6199999999974,-239.83999999999855,97,10.31533248998911,65,31,1
GBP_USD,8,0.7,662.0799999999994,711.5599999999994,-239.83999999999855,96,13.979922546069538,65,30,1
GBP_USD,8,1.0,608.140000000005,114.83999999999719,-326.640000000001,49,19.091007388150203,33,15,1
GBP_USD,8,1.5,496.7800000000003,773.7600000000053,-132.89999999999918,146,29.482826676185514,95,50,1
GBP_USD,8,2.0,281.76000000000556,623.3600000000006,-161.25999999999854,181,39.69157452823924,115,65,1
GBP_USD,12,0.3,883.3799999999944,-85.10000000000451,-448.9800000000026,25,5.313493309218136,20,4,1
GBP_USD,12,0.5,884.0400000000003,-120.30000000000416,-452.0800000000029,25,8.878008671675689,19,5,1
GBP_USD,12,0.7,790.2199999999957,-124.30000000000376,-455.48000000000076,25,12.429212140345964,19,5,1
GBP_USD,12,1.0,817.2199999999893,-129.54000000000195,-465.08000000000146,26,17.65328475443653,19,6,1
GBP_USD,12,1.5,708.8799999999898,941.2400000000001,-79.03999999999985,124,30.423926916514514,92,31,1
GBP_USD,12,2.0,559.659999999993,829.6199999999983,-137.1200000000013,142,40.47635824015563,103,38,1
GBP_USD,24,0.3,-113.95999999999918,-100.28000000000344,-448.9800000000026,22,5.3318180064022895,19,2,1
GBP_USD,24,0.5,-116.65999999999912,-107.68000000000302,-452.0800000000029,22,8.911575264055474,19,2,1
GBP_USD,24,0.7,-120.0599999999992,-111.68000000000262,-455.48000000000076,22,12.476205369677661,19,2,1
GBP_USD,24,1.0,-124.85999999999734,-128.18000000000188,-465.08000000000146,22,17.827073890495505,19,2,1
GBP_USD,24,1.5,682.2799999999988,-123.22000000000219,-473.8800000000014,23,26.773887710535657,20,2,1
GBP_USD,24,2.0,494.8000000000024,-139.82000000000215,-482.3800000000016,23,35.85693395726592,20,2,1
GBP_USD,48,0.3,-126.7799999999977,-90.54000000000235,-439.2400000000015,21,5.246222528156491,19,1,1
GBP_USD,48,0.5,-126.7799999999977,-94.84000000000162,-439.2400000000015,21,8.770116701267318,19,1,1
GBP_USD,48,0.7,-126.7799999999977,-95.44000000000335,-439.2400000000015,21,12.278163381774245,19,1,1
GBP_USD,48,1.0,-126.7799999999977,-102.34000000000191,-439.2400000000015,21,17.544343591699413,19,1,1
GBP_USD,48,1.5,-127.91999999999794,943.7599999999987,-79.03999999999985,91,29.848221014530782,77,13,1
GBP_USD,48,2.0,482.19999999999766,915.5599999999965,-86.94000000000244,96,39.84078991850968,82,13,1
CAD_JPY,6,0.3,-371.3999999999975,517.9199999999988,-81.48000000000002,78,5.282009351660839,40,37,1
CAD_JPY,6,0.5,445.840000000005,-233.6800000000003,-325.88000000000034,18,11.518595421168017,7,10,1
CAD_JPY,6,0.7,403.4000000000007,-164.6399999999994,-256.8399999999994,34,13.906173166066178,13,20,1
CAD_JPY,6,1.0,371.1599999999972,-94.31999999999736,-265.499999999997,57,20.386243944164086,25,31,1
CAD_JPY,6,1.5,535.7400000000029,-12.04000000000697,-152.7200000000003,124,24.02881465462269,47,76,1
CAD_JPY,6,2.0,-706.4999999999875,-84.46000000000532,-181.5400000000024,141,32.37081018767601,55,85,1
CAD_JPY,8,0.3,-384.379999999999,532.6400000000015,-81.48000000000002,71,5.271095897762043,40,30,1
CAD_JPY,8,0.5,450.80000000000115,512.6400000000035,-85.44000000000005,76,8.73958616689588,42,33,1
CAD_JPY,8,0.7,409.06000000000023,432.6400000000038,-80.94,76,12.251745075015494,42,33,1
CAD_JPY,8,1.0,566.1599999999859,223.58000000000033,-96.71999999999929,72,18.622455245057814,37,34,1
CAD_JPY,8,1.5,378.1999999999873,466.24000000000865,-132.199999999998,131,25.663074130303393,71,59,1
CAD_JPY,8,2.0,-230.36000000001198,141.41999999999953,-151.81999999999888,113,31.91485521473464,59,53,1
CAD_JPY,12,0.3,-328.13999999999925,-118.77999999999966,-284.73999999999967,13,7.05874405472827,9,3,1
CAD_JPY,12,0.5,-359.9399999999973,204.52000000000197,-90.79999999999984,33,9.574607332956491,19,13,1
CAD_JPY,12,0.7,-351.8999999999973,-145.65999999999795,-298.55999999999847,16,16.053692296151947,10,5,1
CAD_JPY,12,1.0,-351.55999999999847,-179.11999999999819,-332.01999999999873,17,23.02670899765471,10,6,1
CAD_JPY,12,1.5,-310.4799999999974,384.38000000000534,-83.47999999999826,82,25.330336774129602,48,33,1
CAD_JPY,12,2.0,-336.42000000000155,172.40000000000623,-123.36000000000035,75,34.631393204669365,45,29,1
CAD_JPY,24,0.3,472.91999999999894,-121.28000000000023,-287.24000000000024,13,7.05874405472827,9,3,1
CAD_JPY,24,0.5,-284.02000000000186,-116.54000000000028,-282.5000000000003,14,11.42374794403261,10,3,1
CAD_JPY,24,0.7,-270.7800000000011,-141.4399999999998,-307.3999999999998,14,15.993247121645652,10,3,1
CAD_JPY,24,1.0,-265.84000000000157,-139.6000000000009,-305.5600000000009,15,22.958497146352286,11,3,1
CAD_JPY,24,1.5,-291.9200000000006,312.10000000000474,-60.51999999999981,50,26.173001752158754,32,17,1
CAD_JPY,24,2.0,-445.5600000000013,284.2000000000031,-70.11999999999932,55,34.227411031415095,35,19,1
CAD_JPY,48,0.3,474.8799999999994,-94.28000000000091,-273.8599999999999,13,6.91815589052976,10,2,1
CAD_JPY,48,0.5,467.31999999999744,-105.67999999999992,-273.8599999999999,13,11.530259817549602,10,2,1
CAD_JPY,48,0.7,482.2399999999994,-123.47999999999965,-289.43999999999966,13,16.14236374456944,10,2,1
CAD_JPY,48,1.0,481.25999999999493,-124.8400000000004,-290.8000000000004,14,23.164233572761493,11,2,1
CAD_JPY,48,1.5,-214.34000000000083,-152.03999999999954,-317.99999999999955,14,34.746350359142234,11,2,1
CAD_JPY,48,2.0,453.1199999999999,-146.99999999999957,-312.9599999999996,15,46.983114429005084,12,2,1
AUD_USD,6,0.3,-277.64,-348.9200000000006,-346.5600000000003,2,2.5437504403282665,0,1,1
AUD_USD,6,0.5,-285.4799999999973,538.2399999999982,-14.220000000000596,66,7.255225256403013,33,32,1
AUD_USD,6,0.7,-292.9799999999976,316.98000000000184,-27.959999999998928,52,9.34343244110208,21,30,1
AUD_USD,6,1.0,-284.45999999999617,41.879999999998915,-171.7999999999994,62,13.530519056900754,19,42,1
AUD_USD,6,1.5,70.899999999996,257.15999999999866,-84.70000000000056,84,21.378119180881228,30,53,1
AUD_USD,6,2.0,-145.8199999999939,218.11999999999676,-95.99999999999868,88,28.309118901703016,30,57,1
