ci,name,is_pnl,is_ntrd,c0,c1,c2
1077,b3_r3_n8_E2_X3c_2_3,23153.1,4716,4755.4,14788.7,3609.0
1145,b4_r1_n4_E1_X3b_2,22689.8,14308,4177.7,14865.7,3646.4
1378,b4_r2_n5_E2_X3c_2_5,22544.0,7654,4821.1,14376.7,3346.2
1377,b4_r2_n5_E2_X3c_2_3,22474.1,7646,4759.9,14400.2,3314.0
1370,b4_r2_n5_E2_X3b_2,22433.8,7596,4752.9,14381.9,3299.0
1198,b4_r1_n5_E2_X3c_2_5,21914.8,6542,4470.2,13979.6,3465.0
1190,b4_r1_n5_E2_X3b_2,21714.7,6475,4350.6,13949.8,3414.3
1197,b4_r1_n5_E2_X3c_2_3,21713.2,6536,4490.4,13806.3,3416.5
1183,b4_r1_n5_E1_X3c_2_5,21702.6,6627,4384.9,13877.3,3440.4
1182,b4_r1_n5_E1_X3c_2_3,21441.2,6621,4357.8,13701.7,3381.7
1175,b4_r1_n5_E1_X3b_2,21421.3,6552,4248.2,13795.2,3377.9
1063,b3_r3_n8_E1_X3c_2_5,21170.7,6212,4202.1,14081.3,2887.3
1062,b3_r3_n8_E1_X3c_2_3,21165.6,6211,4202.6,14083.2,2879.8
1055,b3_r3_n8_E1_X3b_2,21159.8,6204,4198.4,14076.0,2885.4
890,b3_r2_n8_E2_X3b_2,21114.4,3111,3910.0,13651.8,3552.6
898,b3_r2_n8_E2_X3c_2_5,21060.9,3116,3890.9,13585.7,3584.3
897,b3_r2_n8_E2_X3c_2_3,21050.6,3115,3907.4,13587.5,3555.7
875,b3_r2_n8_E1_X3b_2,20929.3,3209,3894.9,13494.4,3540.0
882,b3_r2_n8_E1_X3c_2_3,20874.6,3212,3891.6,13431.2,3551.8
883,b3_r2_n8_E1_X3c_2_5,20871.2,3215,3860.5,13438.0,3572.7
695,b3_r1_n8_E1_X3b_2,20620.4,3024,3812.2,13447.0,3361.2
710,b3_r1_n8_E2_X3b_2,20615.5,3020,3827.8,13426.5,3361.2
