ci,name,bf,is_pnl,is_ntrd,c0,c1,c2
1436,b5_r2_n8_E2_X3c_3_5,0,4637.6,903,132.5,2294.8,2210.3
4240,b10_r3_n8_E1_X3c_1_3,0,4610.9,1021,223.4,2147.4,2240.1
4216,b10_r3_n8_E1_X3b_1,0,4610.9,1021,223.4,2147.4,2240.1
4244,b10_r3_n8_E1_X3c_1_5,0,4610.9,1021,223.4,2147.4,2240.1
1404,b5_r2_n8_E2_X3b_3,0,4588.7,900,122.1,2341.4,2125.2
10118,b30_r3_n2_E1_X7_8_bf5,5,4546.9,189,1182.0,2092.4,1272.5
10238,b30_r3_n3_E1_X7_8_bf5,5,4546.9,189,1182.0,2092.4,1272.5
10114,b30_r3_n2_E1_X7_5_bf5,5,4389.9,195,703.6,2036.7,1649.6
10234,b30_r3_n3_E1_X7_5_bf5,5,4389.9,195,703.6,2036.7,1649.6
5380,b15_r2_n4_E2_X3c_1_3,0,4384.3,1107,183.6,1635.2,2565.5
5384,b15_r2_n4_E2_X3c_1_5,0,4361.0,1107,183.6,1635.2,2542.2
5356,b15_r2_n4_E2_X3b_1,0,4358.8,1107,183.6,1633.0,2542.2
7244,b20_r2_n2_E1_X3c_1_5,0,4337.4,7064,42.0,797.8,3497.6
9669,b30_r2_n4_E2_X1_8_bf3,3,4334.6,129,202.6,525.2,3606.8
716,b5_r1_n8_E2_X3c_3_5,0,4328.8,840,178.1,1973.5,2177.2
684,b5_r1_n8_E2_X3b_3,0,4300.4,838,176.5,1988.9,2135.0
656,b5_r1_n8_E1_X3c_3_5,0,4260.6,844,178.1,1922.5,2160.0
624,b5_r1_n8_E1_X3b_3,0,4229.2,842,176.5,1937.9,2114.8
1344,b5_r2_n8_E1_X3b_3,0,4145.3,982,95.8,2183.3,1866.2
9686,b30_r2_n4_E2_X3b_3_bf5,5,4103.9,192,302.8,2383.7,1417.4
7240,b20_r2_n2_E1_X3c_1_3,0,4069.2,7056,42.0,645.0,3382.2
9684,b30_r2_n4_E2_X3b_3,0,3999.2,215,204.2,2307.4,1487.6
9560,b30_r2_n3_E2_X3b_2,0,3978.1,467,255.8,1815.9,1906.4
6044,b15_r3_n4_E1_X3c_1_5,0,3955.1,2741,36.2,992.5,2926.4
6040,b15_r3_n4_E1_X3c_1_3,0,3955.1,2741,36.2,992.5,2926.4
6016,b15_r3_n4_E1_X3b_1,0,3952.9,2741,36.2,990.3,2926.4
10471,b30_r3_n5_E1_X7_3_bf7,7,3911.0,122,759.6,254.4,2897.0
9716,b30_r2_n4_E2_X3c_3_5,0,3906.7,223,349.0,2320.8,1236.9
9718,b30_r2_n4_E2_X3c_3_5_bf5,5,3863.7,199,424.4,2367.8,1071.5
10196,b30_r3_n2_E2_X3c_3_5,0,3860.8,353,233.3,2595.7,1031.8
10316,b30_r3_n3_E2_X3c_3_5,0,3860.8,353,233.3,2595.7,1031.8
9685,b30_r2_n4_E2_X3b_3_bf3,3,3850.7,198,225.3,2206.2,1419.2
