ci,name,bf,is_pnl,is_ntrd,c0,c1,c2
1252,b5_r2_n6_E1_X3c_2_5,0,9389.5,2779,1135.9,6581.1,1672.5
3136,b10_r2_n4_E1_X3b_1,0,9309.0,4751,1323.7,6173.9,1811.4
1220,b5_r2_n6_E1_X3b_2,0,8993.4,2769,1063.5,6381.7,1548.2
2032,b5_r3_n6_E2_X3c_2_5,0,8738.1,4397,698.5,6582.5,1457.1
2028,b5_r3_n6_E2_X3c_2_3,0,8679.0,4392,661.8,6567.4,1449.8
2000,b5_r3_n6_E2_X3b_2,0,8558.0,4388,621.9,6548.8,1387.3
3220,b10_r2_n4_E2_X3c_1_3,0,8498.3,1868,1120.9,5445.2,1932.2
3224,b10_r2_n4_E2_X3c_1_5,0,8488.1,1868,1110.7,5445.2,1932.2
3196,b10_r2_n4_E2_X3b_1,0,8478.3,1868,1101.6,5444.5,1932.2
1336,b5_r2_n8_E1_X3b_1,0,8476.4,700,1567.7,5106.7,1802.0
1396,b5_r2_n8_E2_X3b_1,0,8468.6,616,1564.9,5120.2,1783.5
1364,b5_r2_n8_E1_X3c_1_5,0,8467.5,701,1567.7,5097.8,1802.0
1360,b5_r2_n8_E1_X3c_1_3,0,8467.5,701,1567.7,5097.8,1802.0
1420,b5_r2_n8_E2_X3c_1_3,0,8459.7,617,1564.9,5111.3,1783.5
1424,b5_r2_n8_E2_X3c_1_5,0,8459.7,617,1564.9,5111.3,1783.5
200,b5_r1_n3_E2_X3b_2,0,8370.6,17480,558.5,6521.9,1290.2
676,b5_r1_n8_E2_X3b_1,0,7661.2,537,1568.8,4403.0,1689.4
616,b5_r1_n8_E1_X3b_1,0,7657.6,538,1568.8,4403.0,1685.8
640,b5_r1_n8_E1_X3c_1_3,0,7652.7,539,1568.8,4394.1,1689.8
704,b5_r1_n8_E2_X3c_1_5,0,7652.3,538,1568.8,4394.1,1689.4
700,b5_r1_n8_E2_X3c_1_3,0,7652.3,538,1568.8,4394.1,1689.4
644,b5_r1_n8_E1_X3c_1_5,0,7648.7,539,1568.8,4394.1,1685.8
