ci,name,bf,is_pnl,is_ntrd,c0,c1,c2
8247,b20_r3_n4_E2_X3b_3_bf7,7,3653.2,848,633.7,1640.8,1378.7
4696,b15_r1_n5_E1_X3b_1,0,3631.0,222,275.5,1028.0,2327.5
6824,b20_r1_n4_E2_X3c_1_5,0,3610.3,179,173.5,926.5,2510.3
8279,b20_r3_n4_E2_X3c_3_5_bf7,7,3610.1,849,641.9,1602.7,1365.5
6796,b20_r1_n4_E2_X3b_1,0,3602.8,179,173.5,1015.7,2413.6
6820,b20_r1_n4_E2_X3c_1_3,0,3596.3,179,173.5,921.6,2501.2
9562,b30_r2_n3_E2_X3b_2_bf5,5,3580.5,658,729.0,1540.3,1311.2
10225,b30_r3_n3_E1_X3b_3_bf3,3,3577.4,590,902.2,1750.0,925.2
10105,b30_r3_n2_E1_X3b_3_bf3,3,3577.4,590,902.2,1750.0,925.2
9504,b30_r2_n3_E1_X3b_3,0,3563.2,939,405.9,1194.4,1962.9
8246,b20_r3_n4_E2_X3b_3_bf5,5,3559.0,889,805.8,1657.6,1095.6
6736,b20_r1_n4_E1_X3b_1,0,3509.6,215,118.9,929.5,2461.2
9594,b30_r2_n3_E2_X3c_2_5_bf5,5,3500.6,664,729.6,1534.0,1237.0
8245,b20_r3_n4_E2_X3b_3_bf3,3,3490.3,906,871.9,1597.0,1021.4
10389,b30_r3_n4_E2_X1_8_bf3,3,3448.8,237,1219.1,2091.6,138.1
6764,b20_r1_n4_E1_X3c_1_5,0,3446.9,215,142.0,840.3,2464.6
6760,b20_r1_n4_E1_X3c_1_3,0,3423.0,215,142.0,870.8,2410.2
8277,b20_r3_n4_E2_X3c_3_5_bf3,3,3392.8,907,880.1,1617.2,895.5
10536,b30_r3_n5_E2_X7_8,0,3386.8,234,1933.3,1063.7,389.8
8278,b20_r3_n4_E2_X3c_3_5_bf5,5,3380.7,890,814.0,1619.5,947.2
9591,b30_r2_n3_E2_X3c_2_3_bf7,7,3372.3,624,811.9,1382.0,1178.4
9563,b30_r2_n3_E2_X3b_2_bf7,7,3362.4,615,769.1,1460.6,1132.7
5794,b15_r3_n2_E1_X7_5_bf5,5,3357.5,1168,429.8,470.9,2456.8
9528,b30_r2_n3_E1_X3c_2_3,0,3344.2,1492,1170.1,817.8,1356.3
7944,b20_r3_n2_E1_X3b_3,0,3324.0,1448,1120.1,381.7,1822.2
8064,b20_r3_n3_E1_X3b_3,0,3324.0,1448,1120.1,381.7,1822.2
9624,b30_r2_n4_E1_X3b_3,0,3307.9,684,1364.9,780.4,1162.6
9532,b30_r2_n3_E1_X3c_2_5,0,3303.4,1422,1505.2,1125.5,672.7
8251,b20_r3_n4_E2_X7_3_bf7,7,3299.9,545,1085.1,1880.7,334.1
5914,b15_r3_n3_E1_X7_5_bf5,5,3299.3,1168,371.6,470.9,2456.8
10257,b30_r3_n3_E1_X3c_3_5_bf3,3,3273.6,600,902.2,1474.4,897.0
10137,b30_r3_n2_E1_X3c_3_5_bf3,3,3273.6,600,902.2,1474.4,897.0
2776,b10_r1_n8_E1_X3b_1,0,3268.5,150,103.7,751.5,2413.3
2860,b10_r1_n8_E2_X3c_1_3,0,3257.4,147,103.7,751.5,2402.2
2836,b10_r1_n8_E2_X3b_1,0,3256.0,147,103.7,751.5,2400.8
2864,b10_r1_n8_E2_X3c_1_5,0,3256.0,147,103.7,751.5,2400.8
2804,b10_r1_n8_E1_X3c_1_5,0,3241.9,150,103.7,751.5,2386.7
2800,b10_r1_n8_E1_X3c_1_3,0,3241.2,150,103.7,751.5,2386.0
9595,b30_r2_n3_E2_X3c_2_5_bf7,7,3178.8,621,769.7,1385.4,1023.7
9668,b30_r2_n4_E2_X1_8,0,3107.8,223,1205.5,1292.3,610.0
8218,b20_r3_n4_E1_X3c_3_5_bf5,5,3106.6,967,1454.3,999.3,653.0
8186,b20_r3_n4_E1_X3b_3_bf5,5,3021.7,965,1481.6,930.7,609.4
6344,b15_r3_n6_E2_X3c_1_5,0,3001.5,1156,52.3,871.6,2077.6
6340,b15_r3_n6_E2_X3c_1_3,0,3001.5,1156,52.3,871.6,2077.6
6316,b15_r3_n6_E2_X3b_1,0,3001.5,1156,52.3,871.6,2077.6
