ci,name,bf,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
4480,b15_r1_n3_E1_X3c_1_3,0,6999.1,1154,0.0,14.62,1,2086.7,369,4.89,1
536,b5_r1_n6_E1_X3c_3_5,0,7017.9,2515,0.0,14.09,1,2075.9,899,4.86,1
4484,b15_r1_n3_E1_X3c_1_5,0,7161.8,1152,0.0,14.92,1,2065.8,368,4.84,1
476,b5_r1_n5_E2_X3c_3_5,0,6639.5,4933,0.0,12.52,1,1955.4,1860,4.58,1
4064,b10_r3_n5_E2_X3c_1_5,0,5452.8,2431,0.0,10.26,1,1939.3,698,4.54,1
4060,b10_r3_n5_E2_X3c_1_3,0,5450.1,2431,0.0,10.26,1,1939.3,698,4.54,1
4036,b10_r3_n5_E2_X3b_1,0,5450.1,2431,0.0,10.26,1,1939.3,698,4.54,1
4456,b15_r1_n3_E1_X3b_1,0,7159.5,1137,0.0,14.76,1,1908.0,366,4.47,1
416,b5_r1_n5_E1_X3c_3_5,0,6525.9,5002,0.0,12.26,1,1862.0,1885,4.36,1
6556,b20_r1_n2_E2_X3b_1,0,8075.2,1288,0.0,16.15,1,1854.4,447,4.35,1
444,b5_r1_n5_E2_X3b_3,0,6932.9,4736,0.0,12.91,1,1675.5,1786,3.93,1
384,b5_r1_n5_E1_X3b_3,0,6708.4,4793,0.0,12.46,1,1633.5,1811,3.83,1
2620,b10_r1_n5_E2_X3c_1_3,0,5424.8,428,0.0,11.41,1,1623.7,131,3.8,1
2624,b10_r1_n5_E2_X3c_1_5,0,5423.0,428,0.0,11.41,1,1623.7,131,3.8,1
2560,b10_r1_n5_E1_X3c_1_3,0,5274.4,449,0.0,11.06,1,1611.0,137,3.78,1
2596,b10_r1_n5_E2_X3b_1,0,5419.9,428,0.0,11.4,1,1614.5,131,3.78,1
2564,b10_r1_n5_E1_X3c_1_5,0,5241.5,449,0.0,10.99,1,1590.2,137,3.73,1
4180,b10_r3_n6_E2_X3c_1_3,0,5058.4,1543,0.0,9.7,1,1587.7,434,3.72,1
