pair,tp,sl,max_hold,is_pd_amddp5,oos_pd_amddp5,oos_pd_raw,is_trd,oos_trd,oos_wr,oos_max_dd,mc_p,wf_pass,wf_pos_chunks,sp_gate,is_chunk_amddp,is_chunk_pnl,is_chunk_trd
GBP_USD,30.0,10.0,60,-25.772,-29.523,-20.242,5282,2328,0.2637,104.5,1.0,False,0,2.4,"[-9428.9, -8706.0, -7649.5]","[-6395.9, -6312.4, -4325.2]","[1767, 1867, 1648]"
GBP_USD,30.0,10.0,288,-23.797,-26.12,-16.827,4720,2075,0.2265,104.5,1.0,False,0,2.4,"[-8709.7, -8299.2, -6798.8]","[-5692.3, -5872.9, -3484.6]","[1582, 1775, 1363]"
GBP_USD,30.0,20.0,12,-32.26,-34.777,-23.279,6577,2881,0.3513,98.8,1.0,False,0,2.4,"[-10950.5, -10648.0, -10676.5]","[-7193.5, -6966.7, -7170.2]","[2187, 2151, 2239]"
GBP_USD,30.0,20.0,60,-38.27,-41.224,-15.262,4297,1829,0.3942,104.4,1.0,False,0,2.4,"[-13399.0, -12494.9, -12393.3]","[-5104.7, -5562.8, -3870.7]","[1405, 1559, 1333]"
GBP_USD,30.0,20.0,288,-39.122,-40.879,-11.718,3414,1391,0.3746,104.4,1.0,False,0,2.4,"[-14059.9, -13448.4, -11631.3]","[-4164.4, -5555.7, -1674.8]","[1126, 1386, 902]"
GBP_USD,30.0,50.0,12,-35.267,-37.57,-22.918,6422,2825,0.355,98.8,1.0,False,0,2.4,"[-12111.8, -12127.8, -11043.8]","[-7101.7, -6412.9, -6717.7]","[2146, 2071, 2205]"
GBP_USD,30.0,50.0,60,-70.795,-74.304,-13.667,3562,1497,0.4556,114.6,1.0,False,0,2.4,"[-23238.0, -26124.0, -21465.3]","[-3223.5, -4696.4, -3656.6]","[1156, 1244, 1162]"
GBP_USD,30.0,50.0,288,-119.707,-121.208,-5.152,2046,797,0.5885,118.4,1.0,False,0,2.4,"[-41364.3, -40816.8, -37580.6]","[-2897.3, -4420.7, -595.1]","[644, 851, 551]"
AUD_USD,10.0,0.0,12,-25.461,-23.453,-13.996,6643,2769,0.3774,113.8,1.0,False,0,1.6,"[-8674.3, -8770.8, -8015.1]","[-5102.9, -4426.2, -4850.8]","[2172, 2238, 2233]"
AUD_USD,10.0,0.0,60,-70.631,-60.53,-8.136,4084,1666,0.548,143.5,1.0,False,0,1.6,"[-22143.4, -28321.7, -20162.7]","[-3027.8, -3596.8, -2796.4]","[1320, 1461, 1303]"
AUD_USD,10.0,0.0,288,-234.976,-192.423,-2.693,2122,858,0.7657,151.4,1.0,False,0,1.6,"[-74231.7, -93857.3, -66876.2]","[-1464.7, -1305.0, -1533.9]","[679, 815, 628]"
AUD_USD,10.0,10.0,12,-21.449,-19.87,-13.77,6951,2863,0.3667,51.1,1.0,False,0,1.6,"[-7545.1, -6665.6, -7237.0]","[-5387.0, -4627.7, -5105.6]","[2252, 2389, 2310]"
AUD_USD,10.0,10.0,60,-24.189,-23.013,-10.759,5700,2224,0.4474,45.7,1.0,False,0,1.6,"[-8937.1, -6757.1, -8493.8]","[-5009.9, -3669.5, -4218.0]","[1843, 2112, 1745]"
AUD_USD,10.0,10.0,288,-24.557,-22.72,-9.514,5485,2110,0.4711,45.7,1.0,False,0,1.6,"[-9277.8, -6729.0, -8548.8]","[-5025.1, -3534.2, -3862.9]","[1784, 2083, 1618]"
AUD_USD,10.0,20.0,12,-23.82,-22.521,-13.999,6697,2784,0.3772,108.6,1.0,False,0,1.6,"[-8338.2, -7942.6, -7538.4]","[-5134.7, -4468.6, -4691.5]","[2177, 2273, 2247]"
AUD_USD,10.0,20.0,60,-38.457,-39.074,-9.886,4677,1850,0.5297,108.6,1.0,False,0,1.6,"[-13867.4, -11455.6, -13132.1]","[-3897.0, -2853.9, -3189.1]","[1485, 1744, 1448]"
AUD_USD,10.0,20.0,288,-46.639,-47.986,-7.855,4051,1501,0.6309,108.6,1.0,False,0,1.6,"[-16716.3, -12833.1, -17087.5]","[-3613.9, -2409.8, -2732.4]","[1289, 1632, 1130]"
AUD_USD,10.0,50.0,12,-25.174,-23.362,-14.022,6651,2770,0.3776,108.6,1.0,False,0,1.6,"[-8624.5, -8661.6, -7887.2]","[-5073.6, -4478.6, -4794.3]","[2173, 2242, 2236]"
AUD_USD,10.0,50.0,60,-62.996,-57.249,-8.906,4137,1682,0.547,108.6,1.0,False,0,1.6,"[-20935.2, -23431.6, -18626.3]","[-3238.2, -3026.2, -2838.6]","[1331, 1494, 1312]"
AUD_USD,10.0,50.0,288,-132.964,-131.698,-6.279,2586,969,0.7451,108.6,1.0,False,0,1.6,"[-48039.2, -40342.4, -44576.6]","[-1937.0, -1216.2, -1642.7]","[803, 1060, 723]"
AUD_USD,15.0,0.0,12,-24.872,-23.092,-13.726,6513,2720,0.3647,113.8,1.0,False,0,1.6,"[-8413.7, -8605.0, -7852.4]","[-4902.0, -4301.3, -4725.7]","[2136, 2187, 2190]"
AUD_USD,15.0,0.0,60,-68.639,-56.556,-6.591,3674,1509,0.4778,143.5,1.0,False,0,1.6,"[-20805.2, -28342.0, -19488.3]","[-2371.1, -3500.1, -2761.1]","[1200, 1301, 1173]"
AUD_USD,15.0,0.0,288,-234.904,-193.114,-3.297,1694,684,0.6813,151.4,1.0,False,0,1.6,"[-66453.7, -99750.7, -68688.7]","[-396.9, -2035.5, -1660.2]","[563, 628, 503]"
AUD_USD,15.0,10.0,12,-21.065,-19.721,-13.675,6813,2811,0.3525,51.1,1.0,False,0,1.6,"[-7360.0, -6675.6, -7027.9]","[-5215.0, -4639.6, -4930.3]","[2214, 2334, 2265]"
AUD_USD,15.0,10.0,60,-22.491,-21.565,-9.963,5153,2005,0.38,45.7,1.0,False,0,1.6,"[-8273.6, -6883.3, -7333.3]","[-4427.4, -3741.2, -3317.0]","[1671, 1922, 1560]"
AUD_USD,15.0,10.0,288,-22.483,-20.135,-7.59,4770,1775,0.3876,45.7,1.0,False,0,1.6,"[-8699.4, -6678.7, -7104.2]","[-4516.3, -3391.9, -2637.2]","[1556, 1856, 1358]"
AUD_USD,15.0,20.0,12,-23.357,-22.27,-13.826,6565,2735,0.3645,108.6,1.0,False,0,1.6,"[-8087.8, -7906.4, -7361.3]","[-4917.9, -4453.3, -4567.3]","[2140, 2220, 2205]"
AUD_USD,15.0,20.0,60,-36.393,-36.075,-8.41,4179,1671,0.462,108.6,1.0,False,0,1.6,"[-12643.3, -11690.9, -12057.1]","[-2972.8, -3046.8, -2687.4]","[1323, 1561, 1295]"
AUD_USD,15.0,20.0,288,-45.049,-46.204,-6.641,3372,1218,0.5443,108.6,1.0,False,0,1.6,"[-16022.6, -13511.5, -15513.4]","[-2854.0, -2538.4, -1786.0]","[1055, 1402, 915]"
AUD_USD,15.0,50.0,12,-24.703,-23.057,-13.813,6521,2721,0.3649,108.6,1.0,False,0,1.6,"[-8363.8, -8614.0, -7724.5]","[-4872.7, -4455.9, -4669.2]","[2137, 2191, 2193]"
