pair,arm,direction,entry_ts,entry_px,exit_ts,exit_px,exit_reason,held_bars,gross_pips,spread_rt_pips,carry_pips,net_pips,mfe_pips,mae_pips,entry_W_pips
GBP_USD,A,1,2026-06-26 14:00:00+00:00,1.3225,2026-06-29 02:15:00+00:00,1.3205,scratch,147,-20.000000000000018,1.9999999999997797,-0.3707834520547945,-22.370783452054592,7.099999999999884,-34.000000000000696,23.177148270917886
GBP_JPY,A,1,2026-06-29 07:00:00+00:00,213.961,2026-06-29 11:25:00+00:00,214.161,tp,53,19.999999999998863,3.15000000000083,0.0,16.849999999998033,20.09999999999934,-27.50000000000057,28.921890457682398
GBP_JPY,A,1,2026-06-29 11:25:00+00:00,214.152,2026-06-29 13:20:00+00:00,214.35199999999998,tp,23,19.999999999998863,3.0500000000003524,0.0,16.94999999999851,25.0,-11.39999999999759,30.121269645221133
AUD_USD,A,-1,2026-06-29 03:00:00+00:00,0.68922,2026-06-29 15:00:00+00:00,0.68802,scratch,144,12.000000000000899,1.2999999999996348,0.0,10.700000000001264,10.900000000000354,-9.999999999998899,19.847398081392154
GBP_JPY,A,1,2026-06-29 13:20:00+00:00,214.389,2026-06-29 15:30:00+00:00,214.589,tp,26,19.999999999998863,3.0500000000003524,0.0,16.94999999999851,21.299999999999386,-20.100000000002183,29.810413867141115
GBP_USD,A,1,2026-06-29 13:00:00+00:00,1.32368,2026-06-29 16:00:00+00:00,1.32568,tp,36,20.000000000000018,1.7999999999995797,0.0,18.200000000000436,20.899999999999253,-8.900000000000574,19.84384544175226
NZD_USD,A,1,2026-06-26 17:00:00+00:00,0.56418,2026-06-29 17:00:00+00:00,0.56512,scratch,288,9.399999999999409,1.50000000000039,-0.3781763835616438,7.521823616437375,17.000000000000348,-10.000000000000009,13.04024533261971
GBP_JPY,A,1,2026-06-29 15:30:00+00:00,214.576,2026-06-29 20:25:00+00:00,214.77599999999998,tp,59,19.999999999998863,3.100000000000591,0.0,16.899999999998272,20.000000000001705,-7.800000000000296,31.791203950549352
GBP_JPY,A,1,2026-06-29 20:25:00+00:00,214.76,2026-06-30 00:50:00+00:00,214.95999999999998,tp,53,19.999999999998863,3.499999999999659,1.064763109589041,17.564763109588245,20.79999999999984,-24.59999999999809,26.971788955591897
AUD_USD,A,-1,2026-06-29 16:30:00+00:00,0.68857,2026-06-30 02:30:00+00:00,0.68657,tp,120,20.000000000000018,1.40000000000029,-0.30314330136986295,18.296856698629863,18.299999999999983,-5.899999999999794,17.51684756238206
GBP_USD,A,1,2026-06-29 16:00:00+00:00,1.32558,2026-06-30 04:35:00+00:00,1.3236,scratch,151,-19.799999999998708,1.7000000000000348,-0.3707834520547945,-21.870783452053537,6.800000000000139,-24.299999999999322,20.46033326930031
GBP_JPY,A,1,2026-06-30 00:50:00+00:00,214.96,2026-06-30 06:50:00+00:00,214.848,scratch,72,-11.199999999999477,3.7499999999994316,0.0,-14.949999999998909,8.799999999999386,-50.40000000000191,25.22713204410489
GBP_JPY,A,1,2026-06-30 10:00:00+00:00,214.816,2026-06-30 14:10:00+00:00,215.016,tp,50,19.999999999998863,3.15000000000083,0.0,16.849999999998033,20.400000000000773,-63.59999999999957,28.247374793295908
NZD_USD,A,1,2026-06-29 22:30:00+00:00,0.5652,2026-06-30 14:15:00+00:00,0.5672,tp,189,20.000000000000018,1.6999999999994797,0.0,18.300000000000537,22.999999999999687,-11.200000000000099,8.768265199222103
GBP_JPY,A,1,2026-06-30 14:10:00+00:00,215.014,2026-06-30 14:40:00+00:00,215.214,tp,6,19.999999999998863,3.300000000001546,0.0,16.699999999997317,20.49999999999841,-0.6000000000000227,33.41808106504655
GBP_JPY,A,1,2026-06-30 14:40:00+00:00,215.164,2026-06-30 14:50:00+00:00,215.36399999999998,tp,2,19.999999999998863,3.350000000000364,0.0,16.6499999999985,31.30000000000166,-0.1999999999981128,33.41808106504655
GBP_JPY,A,1,2026-06-30 14:50:00+00:00,215.477,2026-06-30 14:55:00+00:00,215.677,tp,1,19.999999999998863,2.8499999999993975,0.0,17.149999999999466,28.49999999999966,-0.30000000000143245,33.41808106504655
GBP_JPY,A,1,2026-06-30 14:55:00+00:00,215.7,2026-06-30 20:55:00+00:00,215.614,scratch,72,-8.599999999998431,4.749999999999943,0.0,-13.349999999998374,7.900000000000773,-24.699999999998568,33.41808106504655
GBP_JPY,A,1,2026-06-30 20:55:00+00:00,215.614,2026-07-01 02:55:00+00:00,215.424,scratch,72,-18.999999999999773,5.649999999999977,1.064763109589041,-23.58523689041071,5.299999999999727,-34.39999999999941,37.42897940523144
GBP_USD,A,-1,2026-06-30 13:00:00+00:00,1.32146,2026-07-01 03:30:00+00:00,1.32324,scratch,174,-17.799999999998928,1.849999999998797,-0.378125698630137,-20.02812569862786,0.0,-54.99999999999838,17.99501759668973
NZD_USD,A,1,2026-06-30 14:15:00+00:00,0.56735,2026-07-01 14:20:00+00:00,0.56832,scratch,289,9.700000000000264,1.4499999999995072,-1.5127055342465752,6.737294465754181,16.899999999999693,-15.700000000000713,10.24031103732377
GBP_JPY,A,1,2026-07-01 18:00:00+00:00,215.809,2026-07-02 00:00:00+00:00,215.781,scratch,72,-2.7999999999991587,3.499999999999659,3.1942893287671232,-3.1057106712316944,13.100000000000023,-8.699999999998909,33.027078850519516
GBP_JPY,A,1,2026-07-02 00:00:00+00:00,215.781,2026-07-02 01:45:00+00:00,215.981,tp,21,19.999999999998863,3.2000000000010687,0.0,16.799999999997794,20.90000000000032,-0.30000000000143245,28.099559203566393
GBP_USD,A,1,2026-07-01 17:00:00+00:00,1.32845,2026-07-02 05:00:00+00:00,1.32893,scratch,144,4.8000000000003595,1.9000000000002348,-1.1123503561643835,1.7876496438357412,10.600000000000609,-16.299999999997983,24.70280289530375
USD_JPY,A,-1,2026-06-23 09:30:00+00:00,161.434,2026-07-02 06:45:00+00:00,161.5,scratch,1983,-6.60000000000025,1.8000000000000682,-18.848808301369864,-27.248808301370183,5.19999999999925,-139.6000000000015,7.138798976199824
GBP_USD,A,1,2026-07-02 05:00:00+00:00,1.32893,2026-07-02 06:45:00+00:00,1.33093,tp,21,20.000000000000018,1.8499999999999073,0.0,18.150000000000112,25.500000000000522,-2.7999999999983594,18.013365516284146
USD_JPY,A,-1,2026-07-02 06:45:00+00:00,161.5,2026-07-02 06:50:00+00:00,161.3,tp,1,19.999999999998863,1.8499999999988859,0.0,18.149999999999977,0.0,0.0,5.084260857516959
USD_JPY,A,-1,2026-07-02 06:50:00+00:00,161.775,2026-07-02 07:35:00+00:00,161.57500000000002,tp,9,19.999999999998863,1.8000000000000682,0.0,18.199999999998795,5.299999999999727,-4.4999999999987494,5.084260857516959
GBP_USD,A,1,2026-07-02 06:45:00+00:00,1.33138,2026-07-02 07:40:00+00:00,1.33338,tp,11,20.000000000000018,1.7999999999995797,0.0,18.200000000000436,24.599999999999067,-15.799999999999148,17.380976992057683
USD_JPY,A,-1,2026-07-02 07:35:00+00:00,161.565,2026-07-02 08:00:00+00:00,161.365,tp,5,19.999999999998863,1.7499999999998295,0.0,18.249999999999034,10.099999999999909,0.0,9.06371112927926
GBP_USD,A,1,2026-07-02 07:40:00+00:00,1.33334,2026-07-02 08:05:00+00:00,1.33534,tp,5,20.000000000000018,1.8499999999999073,0.0,18.150000000000112,20.200000000001328,-3.8999999999989043,19.84918851497011
USD_JPY,A,-1,2026-07-02 08:00:00+00:00,161.258,2026-07-02 08:45:00+00:00,161.05800000000002,tp,9,19.999999999998863,1.6999999999995907,0.0,18.299999999999272,5.800000000002115,0.0,10.491976572903106
NZD_USD,A,1,2026-07-01 18:00:00+00:00,0.56748,2026-07-02 08:50:00+00:00,0.56948,tp,178,20.000000000000018,1.40000000000029,-0.3781763835616438,18.221823616438083,20.100000000000673,-6.800000000000139,12.982162480684913
USD_JPY,A,-1,2026-07-02 08:45:00+00:00,161.022,2026-07-02 12:30:00+00:00,160.822,tp,45,19.999999999998863,1.9000000000005457,0.0,18.099999999998317,0.0,-57.00000000000216,10.491976572903106
NZD_USD,A,1,2026-07-02 08:50:00+00:00,0.5693,2026-07-02 12:35:00+00:00,0.5713,tp,45,20.000000000000018,1.5500000000007175,0.0,18.4499999999993,22.599999999999287,-25.000000000000576,11.028849380602935
GBP_USD,A,1,2026-07-02 08:05:00+00:00,1.33496,2026-07-02 12:35:00+00:00,1.33696,tp,54,20.000000000000018,1.9999999999997797,0.0,18.000000000000238,25.399999999999867,-52.499999999999766,22.761744244439164
GBP_USD,A,1,2026-07-02 12:35:00+00:00,1.33745,2026-07-03 01:00:00+00:00,1.33496,scratch,149,-24.900000000001032,1.9499999999994522,-0.3707834520547945,-27.22078345205528,10.399999999999299,-40.000000000000036,25.80067565366526
