ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,oos_pnl,oos_ntrd,oos_pd,oos_pass
96,atr7_m0p5_r2_n3_E1_X3b_1,37122.0,20000,0.0,58.97,0.0,0,0.0,0
2502,atr20_m0p5_r2_n3_E1_X3c_1_3,39705.9,20000,0.0,63.21,0.0,0,0.0,0
2496,atr20_m0p5_r2_n3_E1_X3b_1,39747.4,20000,0.0,63.18,0.0,0,0.0,0
1296,atr14_m0p5_r2_n3_E1_X3b_1,39337.8,20000,0.0,62.65,0.0,0,0.0,0
102,atr7_m0p5_r2_n3_E1_X3c_1_3,37084.9,20000,0.0,58.88,0.0,0,0.0,0
100,atr7_m0p5_r2_n3_E1_X3c_1_5,37113.4,20000,0.0,58.89,0.0,0,0.0,0
1300,atr14_m0p5_r2_n3_E1_X3c_1_5,39235.1,20000,0.0,62.49,0.0,0,0.0,0
1302,atr14_m0p5_r2_n3_E1_X3c_1_3,39134.4,20000,0.0,62.39,0.0,0,0.0,0
2582,atr20_m0p5_r3_n3_E1_X3c_1_3,44934.4,20000,0.0,71.81,0.0,0,0.0,0
1380,atr14_m0p5_r3_n3_E1_X3c_1_5,44373.5,20000,0.0,70.72,0.0,0,0.0,0
1382,atr14_m0p5_r3_n3_E1_X3c_1_3,44349.4,20000,0.0,70.7,0.0,0,0.0,0
2322,atr14_m3p0_r3_n2_E1_X3b_3,6099.9,473,0.002,4.37,-109.2,121,-0.26,0
2327,atr14_m3p0_r3_n2_E1_X3c_2_3,4918.4,722,0.002,3.06,-559.6,171,-1.31,0
2325,atr14_m3p0_r3_n2_E1_X3c_2_5,4854.7,723,0.005,3.11,-566.4,171,-1.33,0
