ci,name,is_pnl,is_ntrd,c0,c1,c2
1302,atr14_m0p5_r2_n3_E1_X3c_1_3,38828.4,20000,9963.5,20934.7,7930.2
100,atr7_m0p5_r2_n3_E1_X3c_1_5,36229.2,20000,8828.9,19466.7,7933.6
96,atr7_m0p5_r2_n3_E1_X3b_1,36169.8,20000,8831.7,19408.5,7929.6
102,atr7_m0p5_r2_n3_E1_X3c_1_3,36097.4,20000,8787.1,19426.6,7883.7
196,atr7_m0p5_r3_n4_E1_X3c_1_5,35549.2,12294,8933.7,14485.7,12129.8
198,atr7_m0p5_r3_n4_E1_X3c_1_3,35545.8,12294,8921.9,14489.9,12134.1
192,atr7_m0p5_r3_n4_E1_X3b_1,35541.9,12293,8928.3,14483.9,12129.8
2432,atr20_m0p5_r1_n4_E1_X3b_1,35341.1,10711,8782.7,14108.2,12450.2
2436,atr20_m0p5_r1_n4_E1_X3c_1_5,35207.1,10711,8731.6,14027.8,12447.6
2438,atr20_m0p5_r1_n4_E1_X3c_1_3,35104.9,10712,8682.7,14005.1,12417.2
2516,atr20_m0p5_r2_n4_E1_X3c_1_5,33868.1,8144,8291.7,13722.5,11853.9
2512,atr20_m0p5_r2_n4_E1_X3b_1,33830.4,8144,8292.7,13703.2,11834.5
2518,atr20_m0p5_r2_n4_E1_X3c_1_3,33826.3,8144,8249.1,13749.8,11827.5
1236,atr14_m0p5_r1_n4_E1_X3c_1_5,32916.8,9948,8213.5,13368.8,11334.5
1232,atr14_m0p5_r1_n4_E1_X3b_1,32907.6,9947,8236.0,13345.9,11325.8
1238,atr14_m0p5_r1_n4_E1_X3c_1_3,32812.0,9948,8193.1,13307.5,11311.4
1312,atr14_m0p5_r2_n4_E1_X3b_1,31834.4,7698,7729.9,12900.1,11204.4
1316,atr14_m0p5_r2_n4_E1_X3c_1_5,31800.0,7699,7712.7,12912.7,11174.6
1318,atr14_m0p5_r2_n4_E1_X3c_1_3,31721.8,7701,7720.4,12892.3,11109.1
32,atr7_m0p5_r1_n4_E1_X3b_1,28857.3,8919,7117.8,11851.5,9888.0
36,atr7_m0p5_r1_n4_E1_X3c_1_5,28741.6,8920,7111.0,11790.4,9840.3
38,atr7_m0p5_r1_n4_E1_X3c_1_3,28738.8,8921,7112.1,11783.5,9843.2
118,atr7_m0p5_r2_n4_E1_X3c_1_3,28259.6,6980,6889.2,11701.9,9668.5
112,atr7_m0p5_r2_n4_E1_X3b_1,28253.6,6980,6855.9,11683.8,9713.8
116,atr7_m0p5_r2_n4_E1_X3c_1_5,28244.0,6980,6858.9,11673.3,9711.8
2612,atr20_m0p5_r3_n5_E1_X3c_1_5,26924.2,6383,6803.6,10278.5,9842.1
2608,atr20_m0p5_r3_n5_E1_X3b_1,26923.7,6383,6803.6,10278.5,9841.6
2614,atr20_m0p5_r3_n5_E1_X3c_1_3,26895.3,6383,6801.9,10268.5,9824.9
1412,atr14_m0p5_r3_n5_E1_X3c_1_5,26047.1,6259,6453.9,10283.0,9310.2
1408,atr14_m0p5_r3_n5_E1_X3b_1,26043.5,6259,6453.9,10283.0,9306.6
1414,atr14_m0p5_r3_n5_E1_X3c_1_3,26032.1,6259,6450.7,10283.0,9298.4
212,atr7_m0p5_r3_n5_E1_X3c_1_5,24300.4,6115,6156.5,9493.5,8650.4
208,atr7_m0p5_r3_n5_E1_X3b_1,24300.4,6115,6156.5,9493.5,8650.4
214,atr7_m0p5_r3_n5_E1_X3c_1_3,24295.9,6115,6155.9,9489.7,8650.4
