pair,scale,bars,ind,framing,ic_oos,avg_oos,t_oos,n_oos
AUD_USD,vbar~D1,1400,RSI2,trend,0.1447377454479082,1.531250000000109,0.4739530222578457,96
AUD_USD,vbar~D1,1400,RSI2,contra,-0.1447377454479082,-4.34062499999986,-1.3437810534724217,96
AUD_USD,vbar~H4,5600,TRIX14,trend,-0.04778597139996102,-2.1753571428570693,-5.102037298427191,1680
AUD_USD,vbar~H4,5600,TRIX14,contra,0.04778597139996102,-0.6681547619046864,-1.5669907407795847,1680
AUD_USD,vbar~H4,5600,Vortex14,trend,-0.02002545655718551,-1.7226920786181512,-4.034392326732868,1679
AUD_USD,vbar~H4,5600,Vortex14,contra,0.02002545655718551,-1.1211435378200554,-2.6260939369312117,1679
AUD_USD,vbar~H4,5600,Fisher10,trend,-0.006112091833238066,-1.4866071428570728,-3.4831007152878177,1680
AUD_USD,vbar~H4,5600,Fisher10,contra,0.006112091833238066,-1.3569047619046828,-3.179660012367467,1680
AUD_USD,vbar~H4,5600,RSI2,trend,0.07179464883438803,-0.2182448036950825,-0.2648498231118491,433
AUD_USD,vbar~H4,5600,RSI2,contra,-0.07179464883438803,-2.566050808314027,-3.115351592950542,433
NZD_JPY,vbar~D1,1400,TRIX14,trend,0.004008184560789906,-2.9766666666666888,-0.9825513431755907,420
NZD_JPY,vbar~D1,1400,TRIX14,contra,-0.004008184560789906,-3.4252380952381047,-1.129711140795581,420
NZD_JPY,vbar~D1,1400,Vortex14,trend,0.015035773055022452,-2.2916666666666807,-0.7568603045368244,420
NZD_JPY,vbar~D1,1400,Vortex14,contra,-0.015035773055022452,-4.110238095238113,-1.3551660540851953,420
NZD_JPY,vbar~D1,1400,Fisher10,trend,0.010924193470550072,-2.588095238095259,-0.8542152375508445,420
NZD_JPY,vbar~D1,1400,Fisher10,contra,-0.010924193470550072,-3.813809523809534,-1.258085816818552,420
NZD_JPY,vbar~D1,1400,RSI2,trend,0.11208936237225031,4.417171717171736,0.6249913532657136,99
NZD_JPY,vbar~D1,1400,RSI2,contra,-0.11208936237225031,-10.410101010101007,-1.4784255721039306,99
NZD_JPY,vbar~H4,5600,TRIX14,trend,-0.021039747945016236,-3.8573214285714315,-4.858262734961605,1680
NZD_JPY,vbar~H4,5600,TRIX14,contra,0.021039747945016236,-2.4777976190476285,-3.125807610135823,1680
NZD_JPY,vbar~H4,5600,Vortex14,trend,-0.03717788932325311,-4.37130952380953,-5.510714938188861,1680
NZD_JPY,vbar~H4,5600,Vortex14,contra,0.03717788932325311,-1.9638095238095299,-2.4773893325245435,1680
NZD_JPY,vbar~H4,5600,Fisher10,trend,-0.0320424720433503,-4.211190476190481,-5.305584085486933,1680
NZD_JPY,vbar~H4,5600,Fisher10,contra,0.0320424720433503,-2.12392857142858,-2.680126649077742,1680
