fast,slow,ag,trig,ma,K,exp,wr,n,tdpp,pdpp,pairs_pos,pairs_n,wf_pos,med_meat,med_sp
30s,1h,both,reenter,9,1.5,-2.249866397802698,0.15384615384615385,65,0.20831559813116876,-0.03905685536445725,0,12,0,1.1399331795871603,1.9831339518229167
30s,1h,both,reenter,14,1.0,-2.232803356395892,0.14762472130141915,84769,271.67238366124684,-50.5492508399087,0,12,0,1.511213226113739,1.9663492838541667
30s,1h,both,reenter,14,1.5,-2.0526595421837244,0.20661929693343306,5348,17.139566443161392,-2.9318078840372657,0,12,0,2.500609276185206,1.9168853759765625
30s,1h,both,reenter,20,1.0,-2.2969882620745024,0.18704705042995007,106524,341.39401192807105,-65.34816984510849,0,12,0,1.8270617497314845,1.9997358322143555
30s,1h,both,reenter,20,1.5,-2.1343975462473455,0.22705771050141912,16912,54.200513778374244,-9.640453634492285,0,12,0,3.020062058101125,1.9496917724609375
30s,1h,both,reenter,20,2.0,-1.958547530694273,0.21341463414634146,328,1.0511925567234361,-0.1715675488545738,0,12,0,4.312425030269651,1.8585999806722007
30s,1h,both,reenter,50,1.0,-2.386800120135729,0.2906929785306541,91619,293.62564284891613,-58.40214330222698,0,12,0,2.855354789295461,2.016425132751465
30s,1h,both,reenter,50,1.5,-2.185485740478537,0.26406875092606313,33745,108.14784398363523,-19.69629757414436,0,12,0,4.592580608455421,1.9831339518229167
30s,1h,both,reenter,50,2.0,-1.8709549120730342,0.22204279370205895,4954,15.876853432950924,-2.475406409886929,0,12,0,6.809619550956825,1.91650390625
30s,1h,both,reenter,50,2.5,-0.738574261970601,0.2152777777777778,288,0.9229983424888708,-0.05680856830031714,3,12,1,9.805281812549538,1.8251538276672363
30s,1h,both,close_beyond,5,1.0,-2.453656391794579,0.09400544959128065,1468,4.7047276624085494,-0.9619820917101256,0,12,0,0.9701719551002963,1.8664042154947917
30s,1h,both,close_beyond,9,1.0,-2.1838106071952916,0.10423379344179694,75417,241.70057637320545,-43.98569020408515,0,12,0,1.6500712315988153,1.9666035970052083
30s,1h,both,close_beyond,9,1.5,-2.181420872423091,0.22626262626262628,495,1.5864034011527466,-0.2883844576131319,0,12,0,1.75191836817703,1.8997987111409504
30s,1h,both,close_beyond,14,1.0,-2.2072181687499257,0.12608923012261933,204617,655.7678883508516,-120.61856647089769,0,12,0,2.2693595299405622,1.9832452138264973
30s,1h,both,close_beyond,14,1.5,-2.1361330706143558,0.16574776016540316,11608,37.20196097087087,-6.622361593465151,0,12,0,2.8362379400050486,1.95006529490153
30s,1h,both,close_beyond,20,1.0,-2.238778821050392,0.13448162706254146,280358,898.506837859357,-167.62983993070728,0,12,0,2.8002262115478516,2.0003318786621094
30s,1h,both,close_beyond,20,1.5,-2.177013719647509,0.14525231046045636,36681,117.55729930845233,-21.326987786600778,0,12,0,3.7208023149126745,1.966555913289388
30s,1h,both,close_beyond,20,2.0,-1.9671529283592848,0.24489795918367346,833,2.669644511434824,-0.4376332515289422,0,12,0,4.202689049930086,1.9499460856119792
30s,1h,both,close_beyond,50,1.0,-2.2227641053276,0.12469491541904765,308521,988.7651792465587,-183.14931241892177,0,12,0,4.570164235360608,1.9999345143636067
30s,1h,both,close_beyond,50,1.5,-2.148806980883218,0.11068297136063521,94206,301.9166036545367,-54.063375464785004,0,12,0,5.937550954371318,1.9832452138264973
30s,1h,both,close_beyond,50,2.0,-1.9644805237177614,0.1137847750245997,11179,35.82707802320516,-5.865133083191932,0,12,0,7.803279127246432,1.9168853759765625
30s,1h,both,close_beyond,50,2.5,-1.2767334204474,0.15270935960591134,609,1.951756911721258,-0.20765610648197796,2,12,0,9.642654400450201,1.9166866938273113
30s,1h,both,two_outside,9,1.0,-2.18489674316434,0.09927360774818401,11151,35.73734207324097,-6.506866858764511,0,12,0,1.1751753616668026,1.9162495930989583
30s,1h,both,two_outside,14,1.0,-2.211900626832385,0.1670616833789122,49365,158.207684642233,-29.161639735821293,0,12,0,1.6256614320053764,1.9494692484537761
