split,pair,pct,thr_abs,tp,accel,n,ppd,wr,mdd,calmar,mean_hold,days
OOS_B,AUD_JPY,98,0.487,10.0,True,50,-2.46,78.0,502.8,-0.0,90.5,214.7
OOS_B,AUD_JPY,98,0.487,15.0,False,48,-1.8,75.0,371.2,-0.0,105.3,214.7
OOS_B,AUD_JPY,98,0.487,15.0,True,48,-1.8,75.0,371.2,-0.0,105.3,214.7
OOS_B,AUD_JPY,98,0.487,20.0,False,47,-1.12,72.3,334.9,-0.0,116.2,214.7
OOS_B,AUD_JPY,98,0.487,20.0,True,47,-1.12,72.3,334.9,-0.0,116.2,214.7
OOS_B,AUD_JPY,98,0.487,30.0,False,45,-1.42,62.2,319.9,-0.0,156.2,214.7
OOS_B,AUD_JPY,98,0.487,30.0,True,45,-1.42,62.2,319.9,-0.0,156.2,214.7
OOS_A,EUR_USD,90,0.205,10.0,False,426,-6.22,80.3,1432.5,-0.0,98.0,214.5
OOS_A,EUR_USD,90,0.205,10.0,True,426,-6.22,80.3,1432.5,-0.0,98.0,214.5
OOS_A,EUR_USD,90,0.205,15.0,False,358,-5.23,72.3,1253.6,-0.0,128.7,214.5
OOS_A,EUR_USD,90,0.205,15.0,True,358,-5.23,72.3,1253.6,-0.0,128.7,214.5
OOS_A,EUR_USD,90,0.205,20.0,False,322,-2.67,69.3,992.0,-0.0,147.4,214.5
OOS_A,EUR_USD,90,0.205,20.0,True,322,-2.67,69.3,992.0,-0.0,147.4,214.5
OOS_A,EUR_USD,90,0.205,30.0,False,254,-9.96,52.8,2396.8,-0.0,196.7,214.5
OOS_A,EUR_USD,90,0.205,30.0,True,254,-9.96,52.8,2396.8,-0.0,196.7,214.5
OOS_A,EUR_USD,95,0.281,10.0,False,302,-4.56,79.5,1054.1,-0.0,92.2,214.5
OOS_A,EUR_USD,95,0.281,10.0,True,302,-4.56,79.5,1054.1,-0.0,92.2,214.5
OOS_A,EUR_USD,95,0.281,15.0,False,277,-1.92,74.0,557.7,-0.0,114.5,214.5
OOS_A,EUR_USD,95,0.281,15.0,True,277,-1.92,74.0,557.7,-0.0,114.5,214.5
OOS_A,EUR_USD,95,0.281,20.0,False,247,-1.43,67.2,550.9,-0.0,139.4,214.5
OOS_A,EUR_USD,95,0.281,20.0,True,247,-1.43,67.2,550.9,-0.0,139.4,214.5
