pair,fwd_window,score,n,mean_pips,wr,std_pips
CHF_JPY,1h,2,753,0.835,49.9,18.0
CHF_JPY,1h,3,25770,0.071,50.6,17.9
CHF_JPY,1h,4,215,2.753,58.1,15.1
CHF_JPY,1h,5,5822,0.259,50.4,16.9
CHF_JPY,4h,-5,1341,3.206,54.1,36.3
CHF_JPY,4h,-4,50,7.376,70.0,21.3
CHF_JPY,4h,-3,11617,2.553,53.7,33.7
CHF_JPY,4h,-2,367,4.105,56.4,33.2
CHF_JPY,4h,-1,33295,1.45,52.9,33.8
CHF_JPY,4h,0,877,4.235,54.6,35.1
CHF_JPY,4h,1,43064,1.139,51.7,34.7
CHF_JPY,4h,2,753,3.473,52.6,34.1
CHF_JPY,4h,3,25758,0.353,50.7,34.8
CHF_JPY,4h,4,215,3.521,55.3,26.2
CHF_JPY,4h,5,5822,0.899,50.5,34.1
CHF_JPY,24h,-5,1341,20.819,58.4,92.7
CHF_JPY,24h,-4,50,23.684,64.0,90.0
CHF_JPY,24h,-3,11617,15.034,57.4,80.9
CHF_JPY,24h,-2,367,11.437,59.4,80.8
CHF_JPY,24h,-1,33238,8.29,55.4,81.9
CHF_JPY,24h,0,876,9.188,54.6,79.1
CHF_JPY,24h,1,42939,5.564,53.6,84.3
CHF_JPY,24h,2,752,9.436,56.0,79.1
CHF_JPY,24h,3,25702,5.498,53.8,86.9
CHF_JPY,24h,4,215,20.904,63.7,83.2
CHF_JPY,24h,5,5822,7.275,56.0,89.1
NZD_USD,1h,-5,4083,-0.042,49.3,8.0
NZD_USD,1h,-4,367,0.16,51.8,6.7
NZD_USD,1h,-3,18499,-0.032,49.8,7.5
NZD_USD,1h,-2,1362,0.341,51.2,6.6
NZD_USD,1h,-1,35418,-0.008,49.7,7.4
NZD_USD,1h,0,2114,0.001,49.4,6.4
NZD_USD,1h,1,36206,-0.022,49.2,7.3
NZD_USD,1h,2,1585,0.002,49.2,6.4
NZD_USD,1h,3,19368,-0.1,49.1,7.2
NZD_USD,1h,4,420,0.145,50.2,5.2
NZD_USD,1h,5,3972,-0.371,46.6,6.9
NZD_USD,4h,-5,4083,0.234,51.1,15.6
NZD_USD,4h,-4,367,-0.454,48.5,15.9
NZD_USD,4h,-3,18499,-0.069,49.9,14.6
NZD_USD,4h,-2,1362,-0.22,49.6,13.4
NZD_USD,4h,-1,35412,-0.191,49.3,14.6
NZD_USD,4h,0,2114,-0.575,47.2,13.3
NZD_USD,4h,1,36188,-0.103,49.2,14.3
NZD_USD,4h,2,1584,-0.293,48.2,11.6
NZD_USD,4h,3,19357,-0.184,49.0,13.9
NZD_USD,4h,4,420,-0.864,46.4,12.5
NZD_USD,4h,5,3972,-0.472,48.3,13.6
NZD_USD,24h,-5,4083,-0.238,48.1,34.1
NZD_USD,24h,-4,367,-0.862,44.7,36.3
NZD_USD,24h,-3,18499,-1.489,46.3,35.2
NZD_USD,24h,-2,1362,-2.419,45.6,32.1
NZD_USD,24h,-1,35369,-0.957,47.5,36.9
NZD_USD,24h,0,2109,-1.234,48.5,32.9
NZD_USD,24h,1,36059,-0.537,48.6,36.4
NZD_USD,24h,2,1576,-1.716,44.7,31.5
NZD_USD,24h,3,19302,-0.457,47.8,34.4
NZD_USD,24h,4,420,-5.508,38.6,25.9
NZD_USD,24h,5,3972,-4.431,40.6,30.2
CAD_JPY,1h,-5,2767,0.632,51.9,13.6
CAD_JPY,1h,-4,148,0.324,55.4,14.2
CAD_JPY,1h,-3,16470,0.512,52.3,14.5
CAD_JPY,1h,-2,760,-0.13,49.9,10.6
CAD_JPY,1h,-1,35209,0.015,50.9,13.7
CAD_JPY,1h,0,1433,0.48,51.8,9.9
CAD_JPY,1h,1,38460,0.177,51.0,13.2
CAD_JPY,1h,2,1144,0.936,54.6,10.0
CAD_JPY,1h,3,21954,-0.317,49.8,13.1
CAD_JPY,1h,4,324,-0.545,45.7,11.0
CAD_JPY,1h,5,4938,-0.186,50.2,12.3
CAD_JPY,4h,-5,2767,4.915,57.3,28.0
CAD_JPY,4h,-4,148,4.998,53.4,24.5
CAD_JPY,4h,-3,16468,1.495,53.3,27.2
CAD_JPY,4h,-2,760,-0.763,50.4,25.1
CAD_JPY,4h,-1,35198,0.581,52.2,26.8
CAD_JPY,4h,0,1428,-0.51,48.7,22.0
CAD_JPY,4h,1,38442,0.34,51.8,26.2
CAD_JPY,4h,2,1144,-0.854,48.8,24.7
CAD_JPY,4h,3,21954,-0.703,49.5,26.1
CAD_JPY,4h,4,324,-5.152,46.9,27.5
CAD_JPY,4h,5,4938,-1.585,48.1,24.8
CAD_JPY,24h,-5,2767,26.926,70.3,64.0
CAD_JPY,24h,-4,148,23.972,70.9,68.3
CAD_JPY,24h,-3,16468,7.937,56.4,62.5
CAD_JPY,24h,-2,760,-1.357,49.3,59.8
CAD_JPY,24h,-1,35130,1.771,53.0,61.5
CAD_JPY,24h,0,1423,0.324,51.6,55.2
CAD_JPY,24h,1,38325,1.662,53.5,62.1
CAD_JPY,24h,2,1142,-3.463,48.2,55.8
CAD_JPY,24h,3,21906,-0.935,51.3,61.5
CAD_JPY,24h,4,324,-18.889,35.2,55.1
CAD_JPY,24h,5,4938,-6.706,45.4,59.7
